distance;burst_duration;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;96.98229349236969;92.83543601596358;101.31438656056716;89.68723224473376;161.2294362682334;94.55942005273376;94.55942005273376;110.06030254361242;88.05207673504692;117.651683036647;79.21204895542955;104.62980153088488;102.01587317350378;110.06030254361242;124.61492974015573;91.14288323117634;89.89375028360132;94.99539535941216;94.12544562691185;77.05569102752814;95.43338077220086;88.25482958793816;129.58388350640496;80.86882686115663;112.88035139376932;113.14027499953865;105.11220730055531;90.93349548795442;117.11172814305381;98.55634553585797;104.38942952113904;100.84941064689724;107.80547228788281;103.43345101350522;137.25334072422285;101.08163124269969;121.22258734750707;91.14288323117634;114.71243373975977;118.73907284398597;89.89375028360132;82.37058710017779;84.67567925042412;81.61625295647981;91.35275312046308;95.21413622430518;121.22258734750707;92.4093737048952;108.05371023835644;124.61492974015573;95.87338555888753;119.01248701729637;102.72221678143227;104.14960973171877;121.78149575309698;136.30955248712056;101.5476778317758;94.99539535941216;101.78150629043697;111.58966303523249;133.82439032753845;87.84978967784696;79.76050208051753;89.48118865153393;116.57425133799784;97.65378530006194;122.06191555248;88.05207673504692;119.56120554261082;121.22258734750707;120.66624401638853;101.31438656056716;125.47774604840528;92.62215987470853;114.71243373975977;108.3025197932092;106.81821031140409;88.25482958793816;103.19582744802683;100.61772354471226;93.26346272832193;88.05207673504692;105.83998949201612;108.05371023835644;92.4093737048952;86.44673297753417;110.56774616084073;118.46628680064781;95.21413622430518;92.83543601596358;102.9587497887163;127.80790832738843;98.55634553585797;84.67567925042412;90.93349548795442;92.62215987470853;104.38942952113904;113.14027499953865;88.86589365874443;100.3865687105195
100;1;150.13402880772443;150.47973448311032;141.09429426645892;151.17353578131596;167.27320278297256;172.74705599836088;115.50668655357624;137.25334072422285;134.44140055858222;165.74134666021052;138.20366361880318;147.73622505843724;137.25334072422285;125.47774604840528;138.84086491082343;123.75804637224999;168.81921700947953;123.75804637224999;153.27419176407454;137.25334072422285;151.8705359171794;157.92629242245135;135.0612555746781;150.13402880772443;140.4467510041707;138.52189787423194;147.73622505843724;145.0427346212984;160.12078241236603;171.95424440542277;141.74482308927838;148.4173771424014;153.62712812636244;126.05627327270784;128.39717898913622;139.48100408072568;142.071211385041;136.9380207974764;120.38903057281587;147.73622505843724;141.4191846239604;139.80217960037407;136.30955248712056;144.70951967574905;124.32864475568945;129.88226945076727;123.19006671368945;126.63746785245633;105.11220730055531;121.22258734750707;120.66624401638853;120.94409578467344;124.04301747004386;114.44889832406156;139.80217960037407;120.38903057281587;130.78155608093476;135.37225397356013;117.11172814305381;106.57281074536908;125.76667700754922;146.38328485555763;118.73907284398597;121.78149575309698;128.10220482778118;132.29422515218823;128.6928323718675;136.30955248712056;147.39682220370585;124.61492974015573;139.16056641591413;128.6928323718675;112.62102492532209;129.28618306108862;136.62342527317932;120.94409578467344;148.75912997493032;124.32864475568945;119.01248701729637;128.10220482778118;140.1240946738786;137.8861604610773;122.62469376153705;158.65442679270308;123.75804637224999;142.3983512378432;125.76667700754922;120.38903057281587;125.47774604840528;120.38903057281587;142.72624437825547;151.52163507434625;131.687069245691;144.0453845670817;138.84086491082343;131.3845370318381;140.77015029810312;114.97657598449999;148.4173771424014;122.62469376153705
150;1;226.60953370011526;222.99033295098835;274.274223205303;281.9496250833612;262.5465554823915;292.51864859645656;270.5152355945282;287.18552070336415;322.18580733237013;199.22372122686238;265.5832685032748;269.8937655172144;266.8077657227987;225.0513099716953;228.17854635123973;264.97312891521335;266.8077657227987;275.5387909079098;238.3710326635721;237.82340929672839;252.47908674801366;215.92441600108754;215.92441600108754;271.1381366980691;228.17854635123973;273.01545915549303;301.3970265024886;268.6551052985083;234.02511075636028;281.3018861310095;253.06045696699857;220.94822996518673;246.17149335836635;312.6950456395597;237.82340929672839;212.4758682044176;262.5465554823915;245.60594954833422;258.94829809685814;253.06045696699857;250.7429775143165;228.70396100307693;261.34161481541787;242.7976597445259;273.01545915549303;253.06045696699857;211.98773527560084;218.42187967716725;259.54456462613547;285.21076136507946;269.8937655172144;321.44563150400245;273.01545915549303;290.5072173393252;233.48747152374744;269.2737231785496;234.56398798235475;247.30649072036954;264.97312891521335;254.22721655872235;300.0137840772717;274.9057799304979;298.63688995492015;318.50189365142256;292.51864859645656;218.42187967716725;220.94822996518673;264.97312891521335;285.8675010773755;238.3710326635721;286.52575302941904;295.9020302120025;243.9171017219502;262.5465554823915;270.5152355945282;277.4465828783136;274.274223205303;250.7429775143165;306.28879167305405;293.86733397819717;218.92482816947444;251.8990521439864;281.9496250833612;276.80918902161307;263.7570516442754;288.50961718568635;278.08544442808454;210.53005468358484;209.563840428584;260.1422041467649;253.64316587639095;266.8077657227987;289.1739529985368;251.8990521439864;262.5465554823915;302.78664650003196;318.50189365142256;281.3018861310095;235.64546782369993;269.8937655172144
200;1;243.9171017219502;257.75987140260105;281.9496250833612;276.80918902161307;262.5465554823915;303.4838572720161;268.6551052985083;247.87595027647916;337.3525144312268;302.78664650003196;298.63688995492015;269.8937655172144;254.22721655872235;298.63688995492015;238.3710326635721;269.8937655172144;250.16693137303636;295.9020302120025;255.9874501752332;292.51864859645656;287.18552070336415;263.7570516442754;316.3117951143896;274.9057799304979;235.10410605239272;309.8314439851943;222.99033295098835;278.08544442808454;289.1739529985368;281.3018861310095;229.7584226260572;251.32035008653247;285.21076136507946;334.2631043753249;310.54487643917764;313.4150719573846;268.6551052985083;271.76247212298546;247.87595027647916;263.15110752834715;239.4700652508151;251.32035008653247;281.3018861310095;307.7009656247064;238.9199170137345;268.0379086046006;229.7584226260572;265.5832685032748;267.4221298318544;317.7701810880355;259.54456462613547;285.8675010773755;291.17615292023476;334.2631043753249;273.6441173913884;259.54456462613547;288.50961718568635;265.5832685032748;297.95081439736;274.9057799304979;252.47908674801366;237.27704401627443;334.2631043753249;268.0379086046006;309.1196505402723;331.96462781845474;269.8937655172144;255.39935560783434;283.2495809650177;278.08544442808454;260.74121982026094;307.7009656247064;282.598855549887;251.8990521439864;280.6556352662915;293.19221579357423;264.36439103562185;236.18807616008147;260.1422041467649;221.96693304379488;280.01086907053855;295.9020302120025;262.5465554823915;286.52575302941904;302.78664650003196;300.7046099258363;271.76247212298546;258.3534014046816;293.19221579357423;253.06045696699857;289.839818542273;267.4221298318544;302.091037470114;271.1381366980691;306.994066649216;232.95106744040345;251.8990521439864;299.3245453023246;277.4465828783136;283.90180477109226
250;1;316.3117951143896;310.54487643917764;281.3018861310095;288.50961718568635;330.44109733708814;278.725777050505;317.7701810880355;311.2599516762814;412.0844979880139;291.8466288236721;275.5387909079098;297.2663150003028;282.598855549887;263.7570516442754;299.3245453023246;289.1739529985368;313.4150719573846;270.5152355945282;389.95385847623;354.0465566776694;384.60945641884547;287.18552070336415;291.8466288236721;315.58511398926566;290.5072173393252;350.80426576336697;268.0379086046006;283.90180477109226;289.1739529985368;269.2737231785496;370.71308978460263;203.85896781553103;333.4951826837323;396.28292789392685;306.28879167305405;367.31816993535824;256.57689891684043;321.44563150400245;294.5440067217022;318.50189365142256;334.2631043753249;289.839818542273;325.9123305559271;285.21076136507946;316.3117951143896;326.6627916155961;322.9276875244099;304.18267347431294;296.5833881427452;284.5555304183761;295.9020302120025;306.28879167305405;311.97667347925545;279.367584132936;338.90791066626997;287.84680758938356;363.11820705465465;321.44563150400245;284.5555304183761;237.82340929672839;314.13675624167104;317.04014952964735;296.5833881427452;327.41498072219457;318.50189365142256;279.367584132936;281.3018861310095;310.54487643917764;349.99834311843045;362.2839948901666;311.97667347925545;325.9123305559271;318.50189365142256;312.6950456395597;267.4221298318544;307.7009656247064;297.2663150003028;329.6819561602209;361.4516992088564;266.8077657227987;302.78664650003196;319.97037728515147;309.8314439851943;280.6556352662915;300.0137840772717;355.6789224011468;304.18267347431294;280.6556352662915;323.67127600466995;338.90791066626997;273.6441173913884;314.86010231013057;300.7046099258363;302.78664650003196;263.7570516442754;363.11820705465465;310.54487643917764;237.27704401627443;338.90791066626997;335.032794319519
300;1;295.2222376036896;270.5152355945282;251.32035008653247;250.7429775143165;349.1942719655453;321.44563150400245;243.35673705438484;277.4465828783136;272.3882451720131;294.5440067217022;259.54456462613547;250.7429775143165;274.274223205303;254.22721655872235;307.7009656247064;271.1381366980691;316.3117951143896;328.9245590016707;336.57749526173416;287.84680758938356;254.22721655872235;251.8990521439864;331.96462781845474;318.50189365142256;349.1942719655453;263.7570516442754;306.994066649216;295.2222376036896;300.7046099258363;290.5072173393252;322.9276875244099;283.2495809650177;239.4700652508151;295.9020302120025;271.1381366980691;292.51864859645656;290.5072173393252;278.725777050505;243.9171017219502;241.6833553746412;287.18552070336415;345.9964173501956;247.30649072036954;289.1739529985368;275.5387909079098;339.6882959598702;322.18580733237013;286.52575302941904;349.99834311843045;320.70715612377506;287.84680758938356;307.7009656247064;269.8937655172144;328.1689018548046;288.50961718568635;329.6819561602209;348.39204805117305;292.51864859645656;342.040250112449;337.3525144312268;256.57689891684043;313.4150719573846;260.1422041467649;294.5440067217022;326.6627916155961;249.01880620114244;339.6882959598702;319.97037728515147;278.08544442808454;309.8314439851943;301.3970265024886;314.13675624167104;226.60953370011526;278.725777050505;338.1293181963075;271.76247212298546;306.28879167305405;359.79283969449995;276.1732594861681;264.36439103562185;299.3245453023246;330.44109733708814;310.54487643917764;311.2599516762814;286.52575302941904;300.7046099258363;246.73833941617247;281.9496250833612;263.15110752834715;310.54487643917764;283.90180477109226;311.97667347925545;295.2222376036896;293.19221579357423;283.2495809650177;276.80918902161307;302.78664650003196;265.5832685032748;351.6120441636875;306.994066649216
350;1;455.9706395660546;447.6574952657893;425.5695632393202;459.12771636833594;466.5794984838883;403.64202988183786;450.75701302205556;458.07293608299915;381.9647857759958;467.6538663798645;369.86142946290823;421.67227825724734;419.73704023717846;434.47066173409036;377.59735161863443;413.9844532255518;363.11820705465465;499.9101691219138;516.2692442225662;435.47109431252;433.4725275064743;427.53169266802;385.4950762409936;391.75177827041654;461.2445688917187;515.083189446699;474.1522252837146;436.473830534054;541.8170620241362;491.92605994062694;439.495914163152;399.94555307269343;447.6574952657893;413.0333831330028;401.78954053643093;419.73704023717846;442.5389222757411;393.55798754684844;381.08727629145363;488.5434535396004;486.301314526685;436.473830534054;393.55798754684844;371.5667111794065;394.46421267761235;448.6882924672728;468.7307081658843;444.57929056743217;389.05799523938344;410.1932624738291;392.65384433875624;446.6290661734999;432.4766863495398;384.60945641884547;491.92605994062694;501.06128578760917;476.3383497514306;510.3661557296519;555.69991122084;389.95385847623;513.8998594621052;379.3383005487472;524.6484506693864;386.382735332994;423.6164388784574;452.8352716120527;404.57147500272475;409.250902099993;491.92605994062694;469.8100295384435;384.60945641884547;473.0629283372489;485.18410678467933;418.7727543984368;473.0629283372489;447.6574952657893;416.85082355814023;427.53169266802;426.54949972974595;461.2445688917187;392.65384433875624;474.1522252837146;418.7727543984368;473.0629283372489;398.11002847178173;473.0629283372489;415.89316838956665;348.39204805117305;425.5695632393202;433.4725275064743;504.5305639046976;338.1293181963075;384.60945641884547;378.46682503849723;466.5794984838883;485.18410678467933;350.80426576336697;416.85082355814023;475.2440304965578;503.3714770685424
400;1;333.4951826837323;388.1641901202389;377.59735161863443;414.93771329682374;408.3107066643835;452.8352716120527;422.64324067598795;392.65384433875624;273.01545915549303;375.8643926625708;358.96626708608295;356.49792541509163;375.8643926625708;394.46421267761235;441.52225237307687;325.16359357324677;330.44109733708814;326.6627916155961;369.0117257090382;434.47066173409036;411.13779277098024;287.18552070336415;425.5695632393202;409.250902099993;471.97613389477726;369.0117257090382;385.4950762409936;408.3107066643835;369.0117257090382;374.13938701108043;362.2839948901666;398.11002847178173;382.8443158551454;381.08727629145363;429.50286868328885;369.86142946290823;439.495914163152;331.20198654813083;495.33208703428875;401.78954053643093;322.9276875244099;467.6538663798645;399.0267353460573;453.8779914048565;335.032794319519;335.032794319519;474.1522252837146;435.47109431252;387.27243839056536;393.55798754684844;376.72987568964214;448.6882924672728;370.71308978460263;358.96626708608295;297.95081439736;408.3107066643835;411.13779277098024;341.25446154044994;374.13938701108043;369.0117257090382;314.13675624167104;427.53169266802;404.57147500272475;404.57147500272475;450.75701302205556;369.0117257090382;375.8643926625708;384.60945641884547;380.2117827594916;340.47047820534823;450.75701302205556;465.5075987945472;363.11820705465465;479.63644972442125;333.4951826837323;421.67227825724734;370.71308978460263;369.0117257090382;381.9647857759958;328.9245590016707;439.495914163152;395.3725245249812;447.6574952657893;380.2117827594916;450.75701302205556;361.4516992088564;424.5918780128764;389.05799523938344;449.7214632308695;414.93771329682374;406.43679072472565;400.866486512238;402.7147200282304;369.86142946290823;342.040250112449;402.7147200282304;420.703546485842;408.3107066643835;343.61725960400435;
450;1;523.4431458647107;427.53169266802;519.8438201124033;412.0844979880139;477.4351888372844;515.083189446699;486.301314526685;432.4766863495398;538.0913926371364;475.2440304965578;443.5579332103361;510.3661557296519;434.47066173409036;481.84785973673024;490.7959301502213;459.12771636833594;530.716733601557;468.7307081658843;459.12771636833594;485.18410678467933;485.18410678467933;454.9231122132933;446.6290661734999;423.6164388784574;341.25446154044994;465.5075987945472;464.4381616414893;479.63644972442125;440.50791812415736;438.4862351365575;424.5918780128764;383.7258711816188;482.95738527938295;399.0267353460573;562.1273471207604;515.083189446699;479.63644972442125;499.9101691219138;381.9647857759958;486.301314526685;475.2440304965578;415.89316838956665;442.5389222757411;454.9231122132933;545.5685274238044;548.0839236257382;499.9101691219138;467.6538663798645;468.7307081658843;470.8918362071546;459.12771636833594;498.7616969821788;458.07293608299915;451.7949473188917;466.5794984838883;419.73704023717846;424.5918780128764;522.2406100754972;402.7147200282304;381.08727629145363;511.54134884184504;441.52225237307687;473.0629283372489;503.3714770685424;476.3383497514306;493.0587920210368;479.63644972442125;477.4351888372844;409.250902099993;411.13779277098024;528.2810430102825;462.3066523279195;487.42109480377866;453.8779914048565;410.1932624738291;439.495914163152;452.8352716120527;457.02057900456253;449.7214632308695;407.3726711933644;511.54134884184504;454.9231122132933;455.9706395660546;493.0587920210368;443.5579332103361;393.55798754684844;350.80426576336697;400.866486512238;424.5918780128764;345.9964173501956;440.50791812415736;438.4862351365575;404.57147500272475;463.3711813673893;382.8443158551454;400.866486512238;413.0333831330028;425.5695632393202;;
500;1;428.5161472499453;340.47047820534823;460.184925440363;521.040836940329;442.5389222757411;470.8918362071546;466.5794984838883;399.94555307269343;455.9706395660546;375.8643926625708;421.67227825724734;331.96462781845474;377.59735161863443;451.7949473188917;436.473830534054;368.16397402805757;504.5305639046976;447.6574952657893;433.4725275064743;476.3383497514306;363.9543401153048;378.46682503849723;529.4974877844472;449.7214632308695;449.7214632308695;410.1932624738291;430.4918621878093;480.74088317037916;434.47066173409036;474.1522252837146;450.75701302205556;432.4766863495398;478.5345535564006;499.9101691219138;491.92605994062694;454.9231122132933;376.72987568964214;466.5794984838883;485.18410678467933;430.4918621878093;459.12771636833594;546.8247791725929;460.184925440363;420.703546485842;466.5794984838883;457.02057900456253;435.47109431252;423.6164388784574;511.54134884184504;434.47066173409036;371.5667111794065;367.31816993535824;426.54949972974595;408.3107066643835;496.47266199286656;469.8100295384435;515.083189446699;419.73704023717846;471.97613389477726;424.5918780128764;460.184925440363;403.64202988183786;392.65384433875624;519.8438201124033;475.2440304965578;393.55798754684844;426.54949972974595;372.422298162979;415.89316838956665;471.97613389477726;441.52225237307687;488.5434535396004;403.64202988183786;343.61725960400435;454.9231122132933;421.67227825724734;515.083189446699;434.47066173409036;435.47109431252;411.13779277098024;412.0844979880139;401.78954053643093;445.6029997500121;422.64324067598795;434.47066173409036;480.74088317037916;481.84785973673024;496.47266199286656;376.72987568964214;495.33208703428875;548.0839236257382;433.4725275064743;437.47887570316936;470.8918362071546;430.4918621878093;506.8567506262777;420.703546485842;478.5345535564006;440.50791812415736;462.3066523279195
