distance;burst_period;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;119.83651279733715;86.44673297753417;99.92585095768132;90.72458878313572;102.25077972077757;89.68723224473376;87.04527804082183;103.43345101350522;94.12544562691185;99.69628560183793;77.4109637069535;120.38903057281587;67.58786266311525;97.2056094823455;74.78582940118197;75.82502782400917;97.65378530006194;83.51518073358744;102.48622717491455;98.55634553585797;88.4580493090837;99.01074905214578;94.34218330463797;101.08163124269969;74.95803476906389;82.94090950069848;79.39444634461776;111.58966303523249;81.05503922506719;83.13189313954281;94.99539535941216;96.09414812530488;88.25482958793816;138.52189787423194;112.88035139376932;105.5968372484542;117.92259333504816;82.56025748784099;104.87072703252481;113.92364240658203;97.2056094823455;92.83543601596358;91.98526677962242;116.84268069149917;83.70748671638003;94.12544562691185;84.28706562247159;75.13063666512456;83.70748671638003;101.31438656056716;97.65378530006194;128.10220482778118;96.75949053895263;96.09414812530488;116.0392412484498;86.04999121148714;85.45828998891848;93.04920325689164;91.14288323117634;94.55942005273376;96.53719944346616;86.24813396809573;99.46724763957785;98.55634553585797;99.69628560183793;81.24168037032425;89.27561841403075;86.8453039596765;112.88035139376932;75.30363600242836;79.21204895542955;85.85230365953272;100.3865687105195;73.59141835689192;106.0837016293693;76.70204884940001;91.35275312046308;104.62980153088488;119.83651279733715;90.51616201160321;108.05371023835644;102.01587317350378;110.31373257227528;113.66191912619567;103.43345101350522;95.43338077220086;87.24571259169099;91.56310626602688;107.55780462860899;86.24813396809573;117.11172814305381;101.08163124269969;88.05207673504692;72.91748216796745;81.24168037032425;76.70204884940001;105.5968372484542;83.90023551197255;90.10074386061753;100.61772354471226
100;1;136.9380207974764;133.21021182558732;124.32864475568945;129.88226945076727;129.58388350640496;128.6928323718675;161.6006907506438;119.83651279733715;137.25334072422285;142.071211385041;177.17331256296666;144.70951967574905;141.09429426645892;129.88226945076727;143.05489254083338;120.11245398749564;128.39717898913622;129.58388350640496;132.9041804094259;126.92906924156685;138.52189787423194;129.58388350640496;141.74482308927838;165.3605796128513;144.37707024389624;124.32864475568945;173.54352292544948;128.39717898913622;149.78911734170106;153.27419176407454;146.04699018750796;126.63746785245633;149.78911734170106;165.3605796128513;142.071211385041;128.98916653998216;127.22134208574965;129.58388350640496;154.69082083006467;133.82439032753845;156.1205430194796;130.4811041541137;164.60166778205706;144.37707024389624;121.22258734750707;134.1325406623339;147.73622505843724;137.8861604610773;143.71446089068743;127.51428793112879;137.8861604610773;137.25334072422285;129.58388350640496;122.06191555248;120.11245398749564;133.21021182558732;115.24132645559527;128.10220482778118;145.711468108377;132.59885205668874;120.66624401638853;125.47774604840528;125.76667700754922;133.21021182558732;121.78149575309698;123.19006671368945;121.22258734750707;128.98916653998216;120.94409578467344;131.0826998424925;126.34653637584607;118.19412744424307;142.72624437825547;139.16056641591413;129.58388350640496;157.2014997784399;135.68396849198137;124.32864475568945;136.30955248712056;123.75804637224999;124.90187393789093;124.32864475568945;151.52163507434625;125.47774604840528;110.8223446530412;134.44140055858222;153.9808771765164;102.48622717491455;129.58388350640496;127.80790832738843;128.10220482778118;152.2202401555017;133.21021182558732;112.36229422235937;134.750971650153;129.88226945076727;115.77265768219846;131.99029808444726;115.50668655357624;129.58388350640496
150;1;297.95081439736;276.80918902161307;254.22721655872235;227.13133546963292;257.1677049508413;227.65433876444487;241.12812241994263;258.94829809685814;227.65433876444487;273.01545915549303;229.7584226260572;241.12812241994263;194.69386863271845;252.47908674801366;286.52575302941904;244.4787567115525;225.56952370197416;208.12282714267883;283.90180477109226;275.5387909079098;261.94339230832657;242.7976597445259;245.60594954833422;227.13133546963292;278.725777050505;220.44063299654638;265.5832685032748;278.08544442808454;247.87595027647916;283.90180477109226;234.02511075636028;264.97312891521335;254.81261210362217;264.36439103562185;281.9496250833612;220.94822996518673;277.4465828783136;245.60594954833422;235.64546782369993;294.5440067217022;272.3882451720131;247.30649072036954;216.42161371608097;285.21076136507946;285.21076136507946;276.80918902161307;285.8675010773755;267.4221298318544;272.3882451720131;228.70396100307693;291.17615292023476;227.13133546963292;295.2222376036896;259.54456462613547;212.96512513107268;287.18552070336415;241.6833553746412;237.27704401627443;283.2495809650177;252.47908674801366;263.7570516442754;243.35673705438484;254.22721655872235;256.57689891684043;258.3534014046816;235.64546782369993;266.8077657227987;246.73833941617247;235.10410605239272;269.2737231785496;251.8990521439864;242.7976597445259;251.8990521439864;278.08544442808454;229.23058549940114;286.52575302941904;296.5833881427452;243.35673705438484;227.65433876444487;237.27704401627443;215.92441600108754;302.091037470114;281.3018861310095;233.48747152374744;238.9199170137345;269.8937655172144;216.9199563019157;274.274223205303;268.0379086046006;300.7046099258363;283.2495809650177;221.45699575047882;225.56952370197416;255.9874501752332;292.51864859645656;314.13675624167104;276.80918902161307;256.57689891684043;241.12812241994263;291.8466288236721
200;1;256.57689891684043;240.57416503357393;317.04014952964735;264.36439103562185;260.1422041467649;268.6551052985083;282.598855549887;316.3117951143896;266.1948130274459;323.67127600466995;307.7009656247064;255.39935560783434;285.21076136507946;283.90180477109226;275.5387909079098;274.9057799304979;247.87595027647916;322.9276875244099;302.091037470114;336.57749526173416;300.7046099258363;289.839818542273;277.4465828783136;277.4465828783136;304.88309880366177;291.8466288236721;268.6551052985083;274.274223205303;324.4165767067347;309.1196505402723;289.839818542273;293.19221579357423;291.17615292023476;311.2599516762814;259.54456462613547;341.25446154044994;257.75987140260105;267.4221298318544;285.8675010773755;350.80426576336697;288.50961718568635;302.78664650003196;271.76247212298546;305.58513696531435;277.4465828783136;268.0379086046006;296.5833881427452;297.95081439736;272.3882451720131;269.8937655172144;284.5555304183761;287.84680758938356;288.50961718568635;260.1422041467649;343.61725960400435;280.6556352662915;232.41589566874947;314.13675624167104;245.04170499434795;278.725777050505;257.75987140260105;281.9496250833612;249.59220861540658;274.274223205303;304.18267347431294;304.88309880366177;314.86010231013057;263.15110752834715;271.1381366980691;300.7046099258363;288.50961718568635;250.7429775143165;216.9199563019157;227.65433876444487;255.9874501752332;264.36439103562185;326.6627916155961;210.53005468358484;259.54456462613547;232.95106744040345;283.90180477109226;274.274223205303;242.7976597445259;311.2599516762814;363.9543401153048;283.90180477109226;251.8990521439864;249.01880620114244;290.5072173393252;264.97312891521335;293.86733397819717;284.5555304183761;273.6441173913884;230.28747517530482;241.6833553746412;333.4951826837323;281.3018861310095;319.23529109056983;285.8675010773755;274.9057799304979
250;1;331.20198654813083;307.7009656247064;280.6556352662915;304.88309880366177;361.4516992088564;287.84680758938356;333.4951826837323;298.63688995492015;322.18580733237013;319.97037728515147;304.18267347431294;381.08727629145363;310.54487643917764;310.54487643917764;322.9276875244099;297.95081439736;259.54456462613547;247.87595027647916;367.31816993535824;341.25446154044994;305.58513696531435;300.0137840772717;306.994066649216;297.95081439736;296.5833881427452;295.9020302120025;329.6819561602209;293.19221579357423;273.01545915549303;289.839818542273;304.18267347431294;299.3245453023246;339.6882959598702;329.6819561602209;295.9020302120025;326.6627916155961;349.99834311843045;295.9020302120025;390.8517845698973;295.9020302120025;274.9057799304979;304.18267347431294;326.6627916155961;354.0465566776694;322.9276875244099;376.72987568964214;269.2737231785496;297.2663150003028;306.994066649216;298.63688995492015;306.994066649216;297.95081439736;258.3534014046816;280.01086907053855;300.0137840772717;305.58513696531435;278.725777050505;303.4838572720161;310.54487643917764;318.50189365142256;332.729025182434;269.8937655172144;358.96626708608295;364.79239849526294;351.6120441636875;310.54487643917764;258.94829809685814;315.58511398926566;345.9964173501956;305.58513696531435;304.88309880366177;260.1422041467649;420.703546485842;278.725777050505;295.9020302120025;247.87595027647916;345.2015400495941;329.6819561602209;317.04014952964735;318.50189365142256;340.47047820534823;239.4700652508151;359.79283969449995;369.86142946290823;291.8466288236721;271.76247212298546;314.13675624167104;238.3710326635721;320.70715612377506;319.23529109056983;349.99834311843045;311.2599516762814;290.5072173393252;294.5440067217022;289.1739529985368;354.8618009295309;349.1942719655453;317.7701810880355;296.5833881427452;
300;1;297.2663150003028;263.15110752834715;328.9245590016707;372.422298162979;312.6950456395597;356.49792541509163;347.59166713154747;274.274223205303;301.3970265024886;253.64316587639095;303.4838572720161;286.52575302941904;329.6819561602209;325.16359357324677;366.4743089566345;306.994066649216;368.16397402805757;365.6323866278597;351.6120441636875;370.71308978460263;257.75987140260105;313.4150719573846;350.80426576336697;335.032794319519;331.20198654813083;309.1196505402723;303.4838572720161;278.08544442808454;324.4165767067347;307.7009656247064;314.13675624167104;410.1932624738291;241.12812241994263;291.17615292023476;274.274223205303;287.84680758938356;381.08727629145363;294.5440067217022;289.839818542273;268.6551052985083;321.44563150400245;331.96462781845474;281.3018861310095;316.3117951143896;239.4700652508151;278.725777050505;298.63688995492015;276.80918902161307;273.01545915549303;349.99834311843045;255.39935560783434;295.9020302120025;276.80918902161307;306.28879167305405;310.54487643917764;335.80425658797634;276.1732594861681;301.3970265024886;291.17615292023476;303.4838572720161;350.80426576336697;332.729025182434;317.04014952964735;332.729025182434;243.9171017219502;337.3525144312268;325.16359357324677;282.598855549887;304.18267347431294;316.3117951143896;292.51864859645656;312.6950456395597;289.1739529985368;341.25446154044994;306.28879167305405;274.274223205303;316.3117951143896;328.1689018548046;280.01086907053855;291.8466288236721;299.3245453023246;379.3383005487472;273.01545915549303;289.839818542273;310.54487643917764;301.3970265024886;347.59166713154747;289.839818542273;293.86733397819717;322.18580733237013;304.88309880366177;261.94339230832657;286.52575302941904;311.97667347925545;312.6950456395597;348.39204805117305;358.96626708608295;283.2495809650177;314.13675624167104;257.1677049508413
350;1;478.5345535564006;478.5345535564006;393.55798754684844;394.46421267761235;440.50791812415736;426.54949972974595;467.6538663798645;464.4381616414893;490.7959301502213;405.50306030765785;413.9844532255518;399.94555307269343;502.2150530686748;403.64202988183786;451.7949473188917;437.47887570316936;453.8779914048565;518.6495532594981;418.7727543984368;460.184925440363;540.5723147895266;385.4950762409936;504.5305639046976;497.6158632929841;544.3151617337986;441.52225237307687;486.301314526685;435.47109431252;443.5579332103361;442.5389222757411;502.2150530686748;499.9101691219138;416.85082355814023;365.6323866278597;440.50791812415736;442.5389222757411;416.85082355814023;408.3107066643835;325.9123305559271;350.80426576336697;420.703546485842;375.0008979590133;406.43679072472565;450.75701302205556;414.93771329682374;431.4831329952847;446.6290661734999;432.4766863495398;414.93771329682374;434.47066173409036;510.3661557296519;482.95738527938295;410.1932624738291;460.184925440363;414.93771329682374;410.1932624738291;431.4831329952847;433.4725275064743;438.4862351365575;536.8552045952721;499.9101691219138;453.8779914048565;489.6683966714307;451.7949473188917;491.92605994062694;415.89316838956665;399.0267353460573;413.0333831330028;416.85082355814023;430.4918621878093;461.2445688917187;436.473830534054;404.57147500272475;374.13938701108043;428.5161472499453;466.5794984838883;494.1941323836063;404.57147500272475;404.57147500272475;408.3107066643835;541.8170620241362;392.65384433875624;435.47109431252;410.1932624738291;506.8567506262777;364.79239849526294;423.6164388784574;491.92605994062694;382.8443158551454;478.5345535564006;423.6164388784574;416.85082355814023;424.5918780128764;381.08727629145363;466.5794984838883;382.8443158551454;425.5695632393202;367.31816993535824;440.50791812415736;506.8567506262777
400;1;369.86142946290823;349.99834311843045;392.65384433875624;438.4862351365575;393.55798754684844;384.60945641884547;405.50306030765785;393.55798754684844;350.80426576336697;445.6029997500121;400.866486512238;384.60945641884547;448.6882924672728;408.3107066643835;489.6683966714307;385.4950762409936;467.6538663798645;369.0117257090382;375.0008979590133;372.422298162979;377.59735161863443;335.80425658797634;422.64324067598795;377.59735161863443;431.4831329952847;341.25446154044994;458.07293608299915;318.50189365142256;478.5345535564006;410.1932624738291;372.422298162979;393.55798754684844;393.55798754684844;428.5161472499453;393.55798754684844;359.79283969449995;457.02057900456253;406.43679072472565;420.703546485842;395.3725245249812;453.8779914048565;399.0267353460573;504.5305639046976;418.7727543984368;306.994066649216;417.8106838685425;331.96462781845474;452.8352716120527;377.59735161863443;395.3725245249812;363.11820705465465;358.1415934100561;313.4150719573846;428.5161472499453;527.0673928440674;413.9844532255518;496.47266199286656;137.5693867214618;462.3066523279195;425.5695632393202;405.50306030765785;388.1641901202389;377.59735161863443;395.3725245249812;490.7959301502213;436.473830534054;406.43679072472565;363.9543401153048;351.6120441636875;383.7258711816188;422.64324067598795;404.57147500272475;417.8106838685425;436.473830534054;356.49792541509163;404.57147500272475;469.8100295384435;409.250902099993;425.5695632393202;404.57147500272475;399.94555307269343;405.50306030765785;400.866486512238;350.80426576336697;429.50286868328885;391.75177827041654;381.9647857759958;307.7009656247064;385.4950762409936;342.040250112449;415.89316838956665;405.50306030765785;406.43679072472565;423.6164388784574;434.47066173409036;422.64324067598795;398.11002847178173;510.3661557296519;382.8443158551454;413.9844532255518
450;1;533.1636541787166;468.7307081658843;440.50791812415736;471.97613389477726;433.4725275064743;424.5918780128764;466.5794984838883;471.97613389477726;428.5161472499453;508.02386281723574;450.75701302205556;442.5389222757411;523.4431458647107;525.8565308655895;458.07293608299915;432.4766863495398;473.0629283372489;417.8106838685425;498.7616969821788;354.8618009295309;426.54949972974595;513.8998594621052;491.92605994062694;491.92605994062694;605.0604803317452;567.3227810653409;423.6164388784574;423.6164388784574;439.495914163152;488.5434535396004;476.3383497514306;397.1954276004851;484.06946566773;490.7959301502213;488.5434535396004;412.0844979880139;448.6882924672728;475.2440304965578;424.5918780128764;404.57147500272475;422.64324067598795;431.4831329952847;479.63644972442125;430.4918621878093;437.47887570316936;488.5434535396004;548.0839236257382;439.495914163152;402.7147200282304;519.8438201124033;454.9231122132933;429.50286868328885;480.74088317037916;334.2631043753249;437.47887570316936;466.5794984838883;466.5794984838883;460.184925440363;467.6538663798645;501.06128578760917;443.5579332103361;501.06128578760917;428.5161472499453;448.6882924672728;339.6882959598702;486.301314526685;440.50791812415736;447.6574952657893;491.92605994062694;471.97613389477726;443.5579332103361;444.57929056743217;402.7147200282304;420.703546485842;494.1941323836063;486.301314526685;446.6290661734999;489.6683966714307;389.95385847623;517.4580300639393;455.9706395660546;533.1636541787166;377.59735161863443;391.75177827041654;525.8565308655895;412.0844979880139;466.5794984838883;409.250902099993;496.47266199286656;399.94555307269343;465.5075987945472;444.57929056743217;444.57929056743217;446.6290661734999;459.12771636833594;427.53169266802;451.7949473188917;491.92605994062694;390.8517845698973;441.52225237307687
500;1;450.75701302205556;388.1641901202389;475.2440304965578;409.250902099993;396.28292789392685;434.47066173409036;380.2117827594916;364.79239849526294;413.0333831330028;334.2631043753249;455.9706395660546;362.2839948901666;421.67227825724734;400.866486512238;493.0587920210368;433.4725275064743;444.57929056743217;477.4351888372844;533.1636541787166;495.33208703428875;432.4766863495398;413.9844532255518;447.6574952657893;439.495914163152;434.47066173409036;424.5918780128764;536.8552045952721;425.5695632393202;510.3661557296519;344.4084888659446;457.02057900456253;352.4216825925416;390.8517845698973;457.02057900456253;401.78954053643093;458.07293608299915;449.7214632308695;411.13779277098024;486.301314526685;429.50286868328885;386.382735332994;485.18410678467933;442.5389222757411;443.5579332103361;603.6704403856961;423.6164388784574;491.92605994062694;505.6923197087124;397.1954276004851;435.47109431252;478.5345535564006;448.6882924672728;409.250902099993;415.89316838956665;468.7307081658843;414.93771329682374;480.74088317037916;396.28292789392685;442.5389222757411;373.27985526137724;458.07293608299915;433.4725275064743;518.6495532594981;415.89316838956665;529.4974877844472;385.4950762409936;396.28292789392685;421.67227825724734;436.473830534054;403.64202988183786;362.2839948901666;488.5434535396004;321.44563150400245;453.8779914048565;413.0333831330028;451.7949473188917;479.63644972442125;482.95738527938295;417.8106838685425;477.4351888372844;397.1954276004851;515.083189446699;416.85082355814023;448.6882924672728;477.4351888372844;334.2631043753249;426.54949972974595;449.7214632308695;368.16397402805757;416.85082355814023;433.4725275064743;372.422298162979;397.1954276004851;410.1932624738291;491.92605994062694;338.1293181963075;513.8998594621052;404.57147500272475;420.703546485842;396.28292789392685
