distance;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;97.2056094823455;106.32797494975146;115.50668655357624;104.14960973171877;113.92364240658203;71.0958111755837;69.96033373619683;95.21413622430518;94.55942005273376;59.5566774016345;79.39444634461776;105.11220730055531;114.71243373975977;108.05371023835644;82.37058710017779;94.34218330463797;110.06030254361242;111.84661464128764;106.57281074536908;119.83651279733715;137.5693867214618;98.32992642291843;103.9103408939769;120.66624401638853;119.28653076694064;94.12544562691185;103.67162174218069;122.90705514830907;89.48118865153393;101.31438656056716;83.51518073358744;100.84941064689724;95.65313016290338;118.46628680064781;124.90187393789093;79.94416236366476;116.57425133799784;118.19412744424307;119.01248701729637;81.24168037032425;125.47774604840528;98.78328601209519;94.55942005273376;132.59885205668874;121.78149575309698;107.55780462860899;122.90705514830907;79.03007059816505;121.78149575309698;96.31541902998988;116.57425133799784;96.53719944346616;89.48118865153393;89.89375028360132;90.51616201160321;116.0392412484498;134.1325406623339;123.75804637224999;95.87338555888753;106.0837016293693;110.06030254361242;79.03007059816505;97.2056094823455;131.0826998424925;88.86589365874443;128.39717898913622;119.28653076694064;103.67162174218069;102.01587317350378;112.88035139376932;132.29422515218823;90.10074386061753;86.04999121148714;137.5693867214618;104.87072703252481;98.32992642291843;106.0837016293693;96.98229349236969;85.65507026646488;119.83651279733715;86.24813396809573;89.07052044475715;143.3842974641264;88.6617369735164;108.05371023835644;123.19006671368945;106.57281074536908;108.55190226864423;81.80418637886815;71.7529106612982;85.65507026646488;123.47372995481003;118.46628680064781;133.21021182558732;105.5968372484542;91.35275312046308;89.89375028360132;82.75036461945882;89.27561841403075;104.14960973171877
100;185.08745082042088;127.51428793112879;137.5693867214618;123.47372995481003;161.97280010108508;134.44140055858222;150.82623619664253;131.99029808444726;159.75292780777542;148.4173771424014;132.9041804094259;159.75292780777542;134.750971650153;131.0826998424925;142.3983512378432;141.4191846239604;152.2202401555017;151.17353578131596;144.70951967574905;168.0444319830006;142.3983512378432;128.39717898913622;151.17353578131596;142.72624437825547;153.27419176407454;149.1016697436037;126.92906924156685;140.4467510041707;150.47973448311032;166.88891651518585;134.750971650153;154.69082083006467;132.9041804094259;168.81921700947953;156.48003352402927;147.05819907850767;131.3845370318381;151.8705359171794;113.92364240658203;140.77015029810312;122.342981059681;134.44140055858222;125.47774604840528;129.58388350640496;137.8861604610773;119.01248701729637;120.66624401638853;117.11172814305381;123.75804637224999;116.0392412484498;128.39717898913622;128.10220482778118;133.82439032753845;113.14027499953865;123.75804637224999;132.29422515218823;127.51428793112879;132.9041804094259;148.75912997493032;121.22258734750707;106.32797494975146;145.37671684325215;149.78911734170106;129.58388350640496;120.66624401638853;114.71243373975977;131.3845370318381;139.80217960037407;129.58388350640496;108.80185898389541;131.687069245691;121.5017201781105;112.62102492532209;135.99640077891235;123.19006671368945;126.34653637584607;166.50551309015668;145.37671684325215;124.04301747004386;132.59885205668874;133.82439032753845;116.0392412484498;146.72035389152555;138.84086491082343;136.9380207974764;163.84623892869473;149.78911734170106;153.27419176407454;131.687069245691;142.3983512378432;132.29422515218823;129.88226945076727;133.21021182558732;143.05489254083338;144.70951967574905;160.85903468991685;135.0612555746781;132.29422515218823;121.5017201781105;143.05489254083338
150;260.1422041467649;278.08544442808454;254.81261210362217;300.0137840772717;287.18552070336415;322.18580733237013;260.1422041467649;247.87595027647916;322.9276875244099;253.06045696699857;306.28879167305405;244.4787567115525;246.73833941617247;264.36439103562185;196.9457717471083;238.3710326635721;287.18552070336415;253.06045696699857;221.96693304379488;222.4780445427044;249.59220861540658;261.94339230832657;229.7584226260572;241.6833553746412;224.01845134194735;233.48747152374744;249.59220861540658;268.0379086046006;247.30649072036954;224.53428676337103;274.9057799304979;228.17854635123973;234.02511075636028;280.01086907053855;260.74121982026094;203.39063098337076;216.9199563019157;273.6441173913884;293.86733397819717;203.39063098337076;253.06045696699857;249.01880620114244;272.3882451720131;291.8466288236721;285.21076136507946;246.73833941617247;337.3525144312268;263.7570516442754;311.2599516762814;276.1732594861681;254.81261210362217;283.90180477109226;305.58513696531435;249.59220861540658;230.81774594583314;243.35673705438484;254.81261210362217;234.02511075636028;211.50072376239802;264.97312891521335;249.59220861540658;250.16693137303636;230.28747517530482;253.64316587639095;263.15110752834715;257.1677049508413;298.63688995492015;257.75987140260105;278.08544442808454;266.1948130274459;303.4838572720161;282.598855549887;260.74121982026094;243.9171017219502;227.13133546963292;244.4787567115525;246.17149335836635;254.22721655872235;305.58513696531435;268.6551052985083;305.58513696531435;247.87595027647916;261.94339230832657;270.5152355945282;266.1948130274459;251.32035008653247;233.48747152374744;259.54456462613547;260.74121982026094;281.3018861310095;246.17149335836635;274.274223205303;275.5387909079098;280.01086907053855;241.12812241994263;270.5152355945282;270.5152355945282;261.34161481541787;273.01545915549303;259.54456462613547
200;299.3245453023246;293.19221579357423;258.94829809685814;280.6556352662915;258.94829809685814;269.2737231785496;303.4838572720161;238.3710326635721;271.1381366980691;272.3882451720131;297.95081439736;254.22721655872235;307.7009656247064;260.74121982026094;278.08544442808454;296.5833881427452;247.87595027647916;349.99834311843045;314.13675624167104;276.80918902161307;272.3882451720131;311.2599516762814;249.01880620114244;264.36439103562185;274.274223205303;257.75987140260105;276.1732594861681;295.9020302120025;286.52575302941904;328.1689018548046;261.94339230832657;291.8466288236721;290.5072173393252;347.59166713154747;290.5072173393252;271.76247212298546;363.11820705465465;251.32035008653247;310.54487643917764;246.73833941617247;260.74121982026094;297.2663150003028;293.19221579357423;249.01880620114244;245.04170499434795;262.5465554823915;249.59220861540658;288.50961718568635;314.13675624167104;279.367584132936;302.78664650003196;274.274223205303;297.2663150003028;253.06045696699857;273.01545915549303;293.19221579357423;309.1196505402723;261.94339230832657;243.35673705438484;280.6556352662915;275.5387909079098;297.2663150003028;279.367584132936;257.1677049508413;245.60594954833422;256.57689891684043;290.5072173393252;229.23058549940114;250.16693137303636;218.42187967716725;266.1948130274459;246.73833941617247;307.7009656247064;253.06045696699857;293.86733397819717;311.2599516762814;285.8675010773755;268.6551052985083;283.2495809650177;278.08544442808454;303.4838572720161;217.4194463948251;284.5555304183761;326.6627916155961;331.20198654813083;241.6833553746412;332.729025182434;289.839818542273;311.2599516762814;294.5440067217022;234.56398798235475;271.76247212298546;316.3117951143896;240.57416503357393;249.01880620114244;288.50961718568635;317.7701810880355;307.7009656247064;275.5387909079098;
250;318.50189365142256;317.04014952964735;262.5465554823915;286.52575302941904;294.5440067217022;301.3970265024886;266.1948130274459;302.091037470114;287.18552070336415;308.4094923390225;351.6120441636875;296.5833881427452;338.1293181963075;320.70715612377506;294.5440067217022;293.86733397819717;338.90791066626997;293.19221579357423;335.80425658797634;289.839818542273;338.90791066626997;401.78954053643093;367.31816993535824;350.80426576336697;307.7009656247064;296.5833881427452;346.79312497265164;287.18552070336415;354.8618009295309;322.9276875244099;294.5440067217022;383.7258711816188;331.20198654813083;309.1196505402723;319.97037728515147;306.28879167305405;314.86010231013057;273.01545915549303;338.90791066626997;276.1732594861681;240.0214802850993;315.58511398926566;338.1293181963075;279.367584132936;315.58511398926566;222.99033295098835;325.9123305559271;337.3525144312268;278.08544442808454;300.0137840772717;326.6627916155961;322.9276875244099;311.97667347925545;284.5555304183761;335.80425658797634;271.76247212298546;337.3525144312268;282.598855549887;338.1293181963075;241.12812241994263;283.2495809650177;309.8314439851943;276.1732594861681;280.6556352662915;243.35673705438484;300.0137840772717;318.50189365142256;259.54456462613547;252.47908674801366;272.3882451720131;263.7570516442754;279.367584132936;257.75987140260105;265.5832685032748;255.39935560783434;279.367584132936;290.5072173393252;324.4165767067347;282.598855549887;296.5833881427452;333.4951826837323;279.367584132936;255.9874501752332;297.2663150003028;291.8466288236721;293.19221579357423;324.4165767067347;116.84268069149917;296.5833881427452;260.74121982026094;293.19221579357423;280.6556352662915;350.80426576336697;297.2663150003028;269.8937655172144;347.59166713154747;306.994066649216;283.2495809650177;291.8466288236721;345.9964173501956
300;329.6819561602209;280.01086907053855;321.44563150400245;301.3970265024886;268.0379086046006;318.50189365142256;303.4838572720161;340.47047820534823;327.41498072219457;307.7009656247064;283.90180477109226;291.8466288236721;313.4150719573846;358.1415934100561;308.4094923390225;310.54487643917764;293.19221579357423;300.0137840772717;348.39204805117305;319.23529109056983;317.7701810880355;304.88309880366177;322.9276875244099;325.9123305559271;365.6323866278597;309.1196505402723;308.4094923390225;329.6819561602209;332.729025182434;303.4838572720161;308.4094923390225;314.13675624167104;304.18267347431294;268.6551052985083;354.0465566776694;285.21076136507946;306.994066649216;324.4165767067347;226.0889306955594;300.7046099258363;268.0379086046006;291.8466288236721;254.22721655872235;311.2599516762814;294.5440067217022;239.4700652508151;303.4838572720161;328.9245590016707;280.01086907053855;297.2663150003028;253.64316587639095;267.4221298318544;277.4465828783136;249.01880620114244;313.4150719573846;272.3882451720131;270.5152355945282;293.19221579357423;357.3188143038935;334.2631043753249;289.839818542273;287.18552070336415;259.54456462613547;255.39935560783434;216.9199563019157;290.5072173393252;328.1689018548046;308.4094923390225;327.41498072219457;243.35673705438484;244.4787567115525;219.93420215936857;260.74121982026094;268.6551052985083;280.01086907053855;307.7009656247064;295.2222376036896;361.4516992088564;321.44563150400245;329.6819561602209;281.3018861310095;317.04014952964735;306.28879167305405;308.4094923390225;283.2495809650177;274.274223205303;304.88309880366177;274.9057799304979;332.729025182434;266.1948130274459;285.8675010773755;260.1422041467649;243.9171017219502;344.4084888659446;305.58513696531435;304.88309880366177;295.2222376036896;340.47047820534823;301.3970265024886;358.1415934100561
350;523.4431458647107;417.8106838685425;399.0267353460573;466.5794984838883;447.6574952657893;444.57929056743217;434.47066173409036;373.27985526137724;474.1522252837146;424.5918780128764;502.2150530686748;376.72987568964214;463.3711813673893;516.2692442225662;487.42109480377866;512.7192480089664;416.85082355814023;476.3383497514306;381.08727629145363;437.47887570316936;370.71308978460263;304.18267347431294;413.0333831330028;374.13938701108043;435.47109431252;504.5305639046976;437.47887570316936;455.9706395660546;432.4766863495398;395.3725245249812;435.47109431252;388.1641901202389;467.6538663798645;381.08727629145363;538.0913926371364;381.9647857759958;468.7307081658843;447.6574952657893;372.422298162979;387.27243839056536;438.4862351365575;344.4084888659446;394.46421267761235;444.57929056743217;383.7258711816188;413.0333831330028;348.39204805117305;325.16359357324677;454.9231122132933;463.3711813673893;474.1522252837146;419.73704023717846;449.7214632308695;340.47047820534823;433.4725275064743;479.63644972442125;420.703546485842;446.6290661734999;409.250902099993;478.5345535564006;410.1932624738291;382.8443158551454;355.6789224011468;381.08727629145363;381.08727629145363;387.27243839056536;385.4950762409936;342.040250112449;358.1415934100561;430.4918621878093;458.07293608299915;407.3726711933644;467.6538663798645;435.47109431252;465.5075987945472;439.495914163152;431.4831329952847;442.5389222757411;477.4351888372844;403.64202988183786;386.382735332994;413.0333831330028;363.9543401153048;504.5305639046976;409.250902099993;392.65384433875624;319.97037728515147;392.65384433875624;527.0673928440674;413.9844532255518;436.473830534054;480.74088317037916;429.50286868328885;421.67227825724734;342.040250112449;413.9844532255518;446.6290661734999;452.8352716120527;413.0333831330028;
400;408.3107066643835;393.55798754684844;423.6164388784574;452.8352716120527;440.50791812415736;405.50306030765785;399.94555307269343;409.250902099993;357.3188143038935;406.43679072472565;350.80426576336697;416.85082355814023;422.64324067598795;447.6574952657893;366.4743089566345;400.866486512238;336.57749526173416;443.5579332103361;384.60945641884547;328.9245590016707;383.7258711816188;339.6882959598702;412.0844979880139;391.75177827041654;381.08727629145363;434.47066173409036;432.4766863495398;329.6819561602209;384.60945641884547;403.64202988183786;433.4725275064743;411.13779277098024;377.59735161863443;361.4516992088564;454.9231122132933;359.79283969449995;361.4516992088564;396.28292789392685;391.75177827041654;348.39204805117305;391.75177827041654;357.3188143038935;420.703546485842;380.2117827594916;372.422298162979;356.49792541509163;309.8314439851943;396.28292789392685;336.57749526173416;369.0117257090382;355.6789224011468;374.13938701108043;417.8106838685425;354.0465566776694;382.8443158551454;379.3383005487472;399.94555307269343;359.79283969449995;375.8643926625708;399.0267353460573;447.6574952657893;405.50306030765785;403.64202988183786;378.46682503849723;434.47066173409036;424.5918780128764;359.79283969449995;416.85082355814023;415.89316838956665;361.4516992088564;350.80426576336697;381.08727629145363;345.2015400495941;402.7147200282304;362.2839948901666;421.67227825724734;382.8443158551454;340.47047820534823;452.8352716120527;353.23318533291837;386.382735332994;327.41498072219457;385.4950762409936;363.9543401153048;350.80426576336697;354.8618009295309;351.6120441636875;393.55798754684844;361.4516992088564;367.31816993535824;363.11820705465465;388.1641901202389;374.13938701108043;435.47109431252;424.5918780128764;389.05799523938344;426.54949972974595;325.16359357324677;297.2663150003028;393.55798754684844
450;420.703546485842;465.5075987945472;390.8517845698973;446.6290661734999;447.6574952657893;457.02057900456253;485.18410678467933;397.1954276004851;416.85082355814023;449.7214632308695;382.8443158551454;475.2440304965578;432.4766863495398;482.95738527938295;432.4766863495398;407.3726711933644;440.50791812415736;451.7949473188917;375.0008979590133;431.4831329952847;435.47109431252;458.07293608299915;446.6290661734999;424.5918780128764;468.7307081658843;369.86142946290823;409.250902099993;396.28292789392685;443.5579332103361;417.8106838685425;422.64324067598795;359.79283969449995;442.5389222757411;448.6882924672728;351.6120441636875;438.4862351365575;369.86142946290823;349.1942719655453;401.78954053643093;346.79312497265164;354.8618009295309;469.8100295384435;423.6164388784574;408.3107066643835;431.4831329952847;425.5695632393202;425.5695632393202;453.8779914048565;430.4918621878093;471.97613389477726;426.54949972974595;433.4725275064743;475.2440304965578;461.2445688917187;455.9706395660546;413.0333831330028;342.040250112449;428.5161472499453;474.1522252837146;417.8106838685425;459.12771636833594;451.7949473188917;459.12771636833594;417.8106838685425;455.9706395660546;414.93771329682374;550.6109173039458;490.7959301502213;451.7949473188917;421.67227825724734;414.93771329682374;464.4381616414893;509.19366245561287;389.05799523938344;423.6164388784574;433.4725275064743;431.4831329952847;455.9706395660546;466.5794984838883;436.473830534054;410.1932624738291;433.4725275064743;420.703546485842;358.96626708608295;478.5345535564006;436.473830534054;297.2663150003028;452.8352716120527;435.47109431252;367.31816993535824;357.3188143038935;396.28292789392685;395.3725245249812;385.4950762409936;430.4918621878093;382.8443158551454;419.73704023717846;413.0333831330028;413.0333831330028;450.75701302205556
500;487.42109480377866;393.55798754684844;485.18410678467933;378.46682503849723;402.7147200282304;466.5794984838883;487.42109480377866;459.12771636833594;464.4381616414893;444.57929056743217;394.46421267761235;701.0143941244964;446.6290661734999;396.28292789392685;486.301314526685;443.5579332103361;430.4918621878093;393.55798754684844;512.7192480089664;428.5161472499453;391.75177827041654;497.6158632929841;460.184925440363;438.4862351365575;417.8106838685425;450.75701302205556;388.1641901202389;480.74088317037916;480.74088317037916;317.04014952964735;505.6923197087124;485.18410678467933;402.7147200282304;461.2445688917187;432.4766863495398;429.50286868328885;426.54949972974595;416.85082355814023;423.6164388784574;448.6882924672728;485.18410678467933;502.2150530686748;482.95738527938295;416.85082355814023;438.4862351365575;427.53169266802;395.3725245249812;484.06946566773;519.8438201124033;411.13779277098024;381.9647857759958;395.3725245249812;503.3714770685424;454.9231122132933;451.7949473188917;440.50791812415736;465.5075987945472;438.4862351365575;447.6574952657893;424.5918780128764;512.7192480089664;379.3383005487472;365.6323866278597;314.86010231013057;430.4918621878093;479.63644972442125;415.89316838956665;445.6029997500121;476.3383497514306;405.50306030765785;404.57147500272475;550.6109173039458;428.5161472499453;441.52225237307687;471.97613389477726;452.8352716120527;485.18410678467933;463.3711813673893;543.0646754722676;416.85082355814023;437.47887570316936;400.866486512238;455.9706395660546;450.75701302205556;357.3188143038935;460.184925440363;385.4950762409936;505.6923197087124;466.5794984838883;534.3913418829819;437.47887570316936;413.0333831330028;420.703546485842;441.52225237307687;407.3726711933644;461.2445688917187;428.5161472499453;485.18410678467933;467.6538663798645;451.7949473188917
