distance;retries;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;99.23873585928976;99.69628560183793;92.4093737048952;139.48100408072568;96.53719944346616;130.78155608093476;80.86882686115663;101.31438656056716;72.41608335620725;119.01248701729637;105.11220730055531;114.1859683433024;120.66624401638853;125.18947886683053;112.62102492532209;89.27561841403075;110.31373257227528;87.84978967784696;102.72221678143227;103.9103408939769;120.38903057281587;99.01074905214578;104.62980153088488;88.25482958793816;83.51518073358744;118.73907284398597;97.2056094823455;73.25367523717904;91.14288323117634;87.84978967784696;137.25334072422285;99.01074905214578;124.90187393789093;74.61401965051199;73.93071867376308;99.92585095768132;114.1859683433024;106.81821031140409;106.57281074536908;107.3107059503725;117.92259333504816;127.80790832738843;124.61492974015573;85.45828998891848;97.87864749865372;121.78149575309698;113.14027499953865;67.12311164564821;125.18947886683053;138.84086491082343;109.05239126123435;78.30632826816861;105.83998949201612;92.4093737048952;89.89375028360132;85.26196178592542;105.35424361240754;127.51428793112879;89.48118865153393;108.80185898389541;108.80185898389541;85.65507026646488;126.63746785245633;99.46724763957785;101.5476778317758;91.56310626602688;93.04920325689164;96.09414812530488;111.33330173875498;126.63746785245633;100.84941064689724;94.12544562691185;115.77265768219846;123.47372995481003;103.67162174218069;108.05371023835644;86.04999121148714;85.26196178592542;122.90705514830907;80.86882686115663;92.4093737048952;137.8861604610773;118.73907284398597;142.72624437825547;123.19006671368945;124.61492974015573;81.42875128425993;75.82502782400917;107.80547228788281;88.05207673504692;109.55518780649251;105.11220730055531;125.18947886683053;100.61772354471226;104.14960973171877;126.05627327270784;114.97657598449999;113.14027499953865;86.04999121148714;97.65378530006194
100;1;144.37707024389624;121.22258734750707;135.37225397356013;153.62712812636244;133.51694792407994;139.16056641591413;128.10220482778118;148.75912997493032;141.74482308927838;140.4467510041707;171.55920411377264;143.3842974641264;165.3605796128513;136.62342527317932;133.21021182558732;140.77015029810312;140.77015029810312;129.28618306108862;165.74134666021052;159.019751937195;127.51428793112879;158.65442679270308;140.1240946738786;121.78149575309698;140.1240946738786;152.5707496392494;129.58388350640496;145.0427346212984;161.2294362682334;141.4191846239604;136.30955248712056;120.94409578467344;141.74482308927838;130.78155608093476;128.10220482778118;124.61492974015573;125.47774604840528;132.59885205668874;133.82439032753845;130.4811041541137;131.0826998424925;141.09429426645892;144.70951967574905;139.80217960037407;132.9041804094259;143.3842974641264;131.99029808444726;121.5017201781105;137.25334072422285;130.78155608093476;128.39717898913622;144.37707024389624;145.37671684325215;132.9041804094259;112.62102492532209;107.06417494602071;143.3842974641264;138.20366361880318;134.1325406623339;128.6928323718675;121.5017201781105;143.05489254083338;129.58388350640496;130.18134247263782;146.04699018750796;118.19412744424307;124.04301747004386;119.01248701729637;140.4467510041707;125.18947886683053;121.78149575309698;132.9041804094259;120.94409578467344;133.51694792407994;107.55780462860899;129.58388350640496;105.11220730055531;120.66624401638853;149.78911734170106;115.24132645559527;136.30955248712056;137.5693867214618;144.0453845670817;145.711468108377;153.27419176407454;118.73907284398597;130.4811041541137;130.18134247263782;122.62469376153705;156.1205430194796;119.56120554261082;114.1859683433024;130.4811041541137;149.1016697436037;134.750971650153;121.78149575309698;137.8861604610773;124.04301747004386;129.28618306108862;124.04301747004386
150;1;228.17854635123973;257.75987140260105;325.16359357324677;250.7429775143165;311.2599516762814;325.16359357324677;263.15110752834715;326.6627916155961;289.839818542273;233.48747152374744;236.18807616008147;268.0379086046006;311.97667347925545;267.4221298318544;278.08544442808454;309.8314439851943;270.5152355945282;291.8466288236721;244.4787567115525;262.5465554823915;237.82340929672839;266.8077657227987;298.63688995492015;274.274223205303;287.18552070336415;253.64316587639095;240.57416503357393;264.36439103562185;312.6950456395597;266.8077657227987;265.5832685032748;297.95081439736;296.5833881427452;294.5440067217022;277.4465828783136;269.8937655172144;270.5152355945282;295.9020302120025;247.30649072036954;283.90180477109226;314.86010231013057;304.88309880366177;247.30649072036954;265.5832685032748;286.52575302941904;208.60206055226598;240.57416503357393;277.4465828783136;253.06045696699857;261.34161481541787;246.73833941617247;335.032794319519;233.48747152374744;259.54456462613547;254.81261210362217;257.75987140260105;235.10410605239272;254.81261210362217;235.64546782369993;221.96693304379488;245.60594954833422;234.56398798235475;228.17854635123973;246.73833941617247;228.17854635123973;278.08544442808454;357.3188143038935;212.96512513107268;268.6551052985083;318.50189365142256;217.92008663711292;245.04170499434795;245.04170499434795;222.99033295098835;218.42187967716725;264.36439103562185;241.12812241994263;270.5152355945282;224.53428676337103;279.367584132936;257.75987140260105;257.75987140260105;274.9057799304979;276.1732594861681;251.8990521439864;249.59220861540658;299.3245453023246;249.59220861540658;253.06045696699857;268.6551052985083;249.01880620114244;317.7701810880355;265.5832685032748;246.17149335836635;291.17615292023476;246.73833941617247;316.3117951143896;269.8937655172144;273.6441173913884;250.16693137303636
200;1;268.0379086046006;281.9496250833612;254.81261210362217;282.598855549887;244.4787567115525;273.01545915549303;260.1422041467649;268.0379086046006;287.18552070336415;255.39935560783434;265.5832685032748;251.8990521439864;259.54456462613547;278.08544442808454;271.76247212298546;232.95106744040345;263.7570516442754;289.839818542273;275.5387909079098;317.04014952964735;302.091037470114;330.44109733708814;250.16693137303636;293.86733397819717;309.8314439851943;299.3245453023246;226.60953370011526;285.21076136507946;296.5833881427452;322.18580733237013;319.97037728515147;317.7701810880355;249.59220861540658;257.75987140260105;281.3018861310095;285.8675010773755;296.5833881427452;249.59220861540658;281.3018861310095;244.4787567115525;233.48747152374744;271.1381366980691;310.54487643917764;279.367584132936;263.7570516442754;256.57689891684043;314.86010231013057;311.97667347925545;314.86010231013057;266.8077657227987;258.94829809685814;353.23318533291837;298.63688995492015;301.3970265024886;275.5387909079098;226.60953370011526;285.8675010773755;358.1415934100561;268.0379086046006;232.95106744040345;255.9874501752332;276.1732594861681;283.90180477109226;264.36439103562185;213.9470213365385;323.67127600466995;244.4787567115525;305.58513696531435;246.17149335836635;252.47908674801366;274.274223205303;263.15110752834715;284.5555304183761;309.8314439851943;289.839818542273;293.19221579357423;269.8937655172144;304.18267347431294;267.4221298318544;269.8937655172144;265.5832685032748;293.86733397819717;237.82340929672839;266.8077657227987;272.3882451720131;248.44672109694383;249.01880620114244;271.76247212298546;255.9874501752332;301.3970265024886;287.18552070336415;300.7046099258363;245.04170499434795;325.9123305559271;289.1739529985368;258.94829809685814;251.32035008653247;295.9020302120025;276.80918902161307;287.18552070336415
250;1;301.3970265024886;323.67127600466995;266.1948130274459;289.1739529985368;312.6950456395597;286.52575302941904;368.16397402805757;281.3018861310095;319.23529109056983;352.4216825925416;285.21076136507946;336.57749526173416;367.31816993535824;253.64316587639095;365.6323866278597;285.8675010773755;315.58511398926566;359.79283969449995;306.28879167305405;300.7046099258363;284.5555304183761;328.1689018548046;338.1293181963075;337.3525144312268;350.80426576336697;302.091037470114;316.3117951143896;281.9496250833612;266.1948130274459;304.88309880366177;263.15110752834715;283.2495809650177;278.725777050505;319.97037728515147;292.51864859645656;366.4743089566345;319.23529109056983;264.97312891521335;299.3245453023246;287.18552070336415;338.90791066626997;346.79312497265164;348.39204805117305;337.3525144312268;348.39204805117305;332.729025182434;319.23529109056983;297.2663150003028;305.58513696531435;314.86010231013057;289.1739529985368;307.7009656247064;304.18267347431294;334.2631043753249;280.6556352662915;313.4150719573846;329.6819561602209;350.80426576336697;283.90180477109226;340.47047820534823;327.41498072219457;289.1739529985368;314.13675624167104;290.5072173393252;317.04014952964735;332.729025182434;402.7147200282304;322.18580733237013;349.1942719655453;331.20198654813083;358.1415934100561;361.4516992088564;304.18267347431294;345.9964173501956;327.41498072219457;357.3188143038935;318.50189365142256;299.3245453023246;268.0379086046006;300.7046099258363;315.58511398926566;309.8314439851943;356.49792541509163;265.5832685032748;314.13675624167104;293.86733397819717;276.80918902161307;317.7701810880355;397.1954276004851;292.51864859645656;265.5832685032748;255.39935560783434;396.28292789392685;304.18267347431294;290.5072173393252;309.8314439851943;265.5832685032748;317.7701810880355;302.091037470114;314.86010231013057
300;1;296.5833881427452;338.1293181963075;287.18552070336415;302.091037470114;278.08544442808454;302.78664650003196;359.79283969449995;315.58511398926566;312.6950456395597;317.04014952964735;280.6556352662915;371.5667111794065;273.01545915549303;342.040250112449;271.76247212298546;309.8314439851943;375.8643926625708;359.79283969449995;287.18552070336415;347.59166713154747;319.23529109056983;303.4838572720161;260.1422041467649;356.49792541509163;335.80425658797634;298.63688995492015;356.49792541509163;242.23986683485333;251.32035008653247;333.4951826837323;342.040250112449;294.5440067217022;270.5152355945282;299.3245453023246;254.22721655872235;328.9245590016707;311.97667347925545;331.20198654813083;286.52575302941904;291.17615292023476;291.17615292023476;314.86010231013057;289.839818542273;319.97037728515147;335.032794319519;304.88309880366177;337.3525144312268;300.0137840772717;272.3882451720131;285.21076136507946;337.3525144312268;304.88309880366177;327.41498072219457;305.58513696531435;324.4165767067347;335.032794319519;307.7009656247064;287.18552070336415;355.6789224011468;280.6556352662915;313.4150719573846;300.0137840772717;359.79283969449995;282.598855549887;347.59166713154747;338.1293181963075;308.4094923390225;309.1196505402723;304.18267347431294;262.5465554823915;347.59166713154747;335.80425658797634;229.23058549940114;282.598855549887;417.8106838685425;331.96462781845474;326.6627916155961;272.3882451720131;319.97037728515147;274.9057799304979;252.47908674801366;295.9020302120025;295.9020302120025;340.47047820534823;225.0513099716953;369.86142946290823;298.63688995492015;297.2663150003028;392.65384433875624;337.3525144312268;297.95081439736;291.8466288236721;337.3525144312268;305.58513696531435;255.9874501752332;332.729025182434;306.994066649216;309.8314439851943;278.08544442808454;
350;1;455.9706395660546;562.1273471207604;494.1941323836063;434.47066173409036;324.4165767067347;413.9844532255518;438.4862351365575;489.6683966714307;476.3383497514306;416.85082355814023;429.50286868328885;391.75177827041654;394.46421267761235;503.3714770685424;431.4831329952847;418.7727543984368;421.67227825724734;389.05799523938344;504.5305639046976;448.6882924672728;399.0267353460573;441.52225237307687;476.3383497514306;491.92605994062694;432.4766863495398;434.47066173409036;375.8643926625708;430.4918621878093;423.6164388784574;577.858148380086;441.52225237307687;420.703546485842;470.8918362071546;498.7616969821788;423.6164388784574;376.72987568964214;354.8618009295309;441.52225237307687;445.6029997500121;430.4918621878093;490.7959301502213;395.3725245249812;365.6323866278597;455.9706395660546;447.6574952657893;459.12771636833594;457.02057900456253;427.53169266802;470.8918362071546;478.5345535564006;418.7727543984368;462.3066523279195;484.06946566773;484.06946566773;475.2440304965578;424.5918780128764;448.6882924672728;444.57929056743217;431.4831329952847;430.4918621878093;465.5075987945472;459.12771636833594;381.08727629145363;413.0333831330028;468.7307081658843;399.0267353460573;438.4862351365575;395.3725245249812;435.47109431252;365.6323866278597;477.4351888372844;516.2692442225662;453.8779914048565;436.473830534054;463.3711813673893;484.06946566773;405.50306030765785;387.27243839056536;449.7214632308695;473.0629283372489;450.75701302205556;518.6495532594981;484.06946566773;463.3711813673893;412.0844979880139;467.6538663798645;353.23318533291837;458.07293608299915;433.4725275064743;399.0267353460573;495.33208703428875;385.4950762409936;439.495914163152;491.92605994062694;425.5695632393202;436.473830534054;397.1954276004851;447.6574952657893;443.5579332103361;477.4351888372844
400;1;366.4743089566345;370.71308978460263;387.27243839056536;264.36439103562185;352.4216825925416;373.27985526137724;372.422298162979;393.55798754684844;425.5695632393202;362.2839948901666;400.866486512238;412.0844979880139;379.3383005487472;372.422298162979;572.5662335487999;370.71308978460263;414.93771329682374;397.1954276004851;440.50791812415736;414.93771329682374;404.57147500272475;440.50791812415736;354.0465566776694;389.05799523938344;399.0267353460573;445.6029997500121;411.13779277098024;371.5667111794065;379.3383005487472;329.6819561602209;409.250902099993;374.13938701108043;380.2117827594916;370.71308978460263;424.5918780128764;399.94555307269343;411.13779277098024;421.67227825724734;413.9844532255518;411.13779277098024;403.64202988183786;338.90791066626997;389.95385847623;315.58511398926566;347.59166713154747;380.2117827594916;390.8517845698973;408.3107066643835;386.382735332994;426.54949972974595;369.0117257090382;403.64202988183786;338.1293181963075;429.50286868328885;383.7258711816188;445.6029997500121;364.79239849526294;433.4725275064743;448.6882924672728;413.9844532255518;375.0008979590133;407.3726711933644;436.473830534054;413.9844532255518;428.5161472499453;427.53169266802;397.1954276004851;379.3383005487472;386.382735332994;374.13938701108043;358.1415934100561;405.50306030765785;403.64202988183786;381.9647857759958;454.9231122132933;422.64324067598795;424.5918780128764;379.3383005487472;369.0117257090382;403.64202988183786;350.80426576336697;382.8443158551454;418.7727543984368;374.13938701108043;376.72987568964214;381.08727629145363;488.5434535396004;357.3188143038935;354.8618009295309;374.13938701108043;448.6882924672728;432.4766863495398;475.2440304965578;481.84785973673024;431.4831329952847;421.67227825724734;426.54949972974595;494.1941323836063;415.89316838956665;495.33208703428875
450;1;480.74088317037916;441.52225237307687;360.62131560787793;499.9101691219138;459.12771636833594;399.94555307269343;401.78954053643093;415.89316838956665;452.8352716120527;358.96626708608295;451.7949473188917;470.8918362071546;488.5434535396004;480.74088317037916;408.3107066643835;449.7214632308695;452.8352716120527;430.4918621878093;506.8567506262777;454.9231122132933;502.2150530686748;404.57147500272475;424.5918780128764;417.8106838685425;441.52225237307687;464.4381616414893;460.184925440363;433.4725275064743;380.2117827594916;540.5723147895266;433.4725275064743;365.6323866278597;363.11820705465465;397.1954276004851;499.9101691219138;506.8567506262777;410.1932624738291;447.6574952657893;477.4351888372844;445.6029997500121;436.473830534054;368.16397402805757;419.73704023717846;513.8998594621052;422.64324067598795;498.7616969821788;568.6291251816449;482.95738527938295;484.06946566773;466.5794984838883;506.8567506262777;443.5579332103361;491.92605994062694;471.97613389477726;454.9231122132933;426.54949972974595;452.8352716120527;485.18410678467933;418.7727543984368;462.3066523279195;453.8779914048565;457.02057900456253;449.7214632308695;482.95738527938295;440.50791812415736;480.74088317037916;464.4381616414893;486.301314526685;436.473830534054;365.6323866278597;476.3383497514306;454.9231122132933;423.6164388784574;460.184925440363;441.52225237307687;476.3383497514306;549.3459674441176;474.1522252837146;407.3726711933644;438.4862351365575;441.52225237307687;471.97613389477726;485.18410678467933;428.5161472499453;423.6164388784574;416.85082355814023;485.18410678467933;443.5579332103361;433.4725275064743;477.4351888372844;488.5434535396004;466.5794984838883;415.89316838956665;470.8918362071546;424.5918780128764;468.7307081658843;494.1941323836063;452.8352716120527;413.9844532255518;467.6538663798645
500;1;530.716733601557;528.2810430102825;437.47887570316936;564.71908935455;403.64202988183786;566.0194380878718;442.5389222757411;452.8352716120527;463.3711813673893;407.3726711933644;464.4381616414893;481.84785973673024;461.2445688917187;418.7727543984368;478.5345535564006;425.5695632393202;425.5695632393202;460.184925440363;429.50286868328885;508.02386281723574;363.11820705465465;502.2150530686748;450.75701302205556;499.9101691219138;439.495914163152;418.7727543984368;413.9844532255518;458.07293608299915;481.84785973673024;501.06128578760917;427.53169266802;436.473830534054;490.7959301502213;489.6683966714307;389.05799523938344;420.703546485842;400.866486512238;443.5579332103361;471.97613389477726;413.0333831330028;485.18410678467933;533.1636541787166;513.8998594621052;477.4351888372844;490.7959301502213;445.6029997500121;438.4862351365575;421.67227825724734;394.46421267761235;458.07293608299915;544.3151617337986;501.06128578760917;380.2117827594916;470.8918362071546;390.8517845698973;389.05799523938344;400.866486512238;417.8106838685425;473.0629283372489;399.0267353460573;410.1932624738291;474.1522252837146;419.73704023717846;392.65384433875624;393.55798754684844;431.4831329952847;531.9387869114252;386.382735332994;460.184925440363;438.4862351365575;522.2406100754972;353.23318533291837;458.07293608299915;406.43679072472565;517.4580300639393;443.5579332103361;463.3711813673893;434.47066173409036;602.2835938576843;516.2692442225662;536.8552045952721;517.4580300639393;519.8438201124033;484.06946566773;367.31816993535824;486.301314526685;436.473830534054;471.97613389477726;399.94555307269343;451.7949473188917;412.0844979880139;528.2810430102825;442.5389222757411;446.6290661734999;438.4862351365575;541.8170620241362;475.2440304965578;533.1636541787166;505.6923197087124;460.184925440363
