distance;spb;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;105.5968372484542;97.87864749865372;100.3865687105195;98.55634553585797;81.9925525455932;79.94416236366476;90.10074386061753;113.92364240658203;104.14960973171877;82.75036461945882;100.1559449215093;91.98526677962242;83.13189313954281;92.83543601596358;74.27158336739988;84.09342814000658;102.9587497887163;99.46724763957785;86.44673297753417;76.17462641229403;97.42943969022213;83.70748671638003;102.9587497887163;105.11220730055531;82.56025748784099;90.72458878313572;77.23312308554021;114.44889832406156;88.05207673504692;82.94090950069848;85.45828998891848;105.5968372484542;90.10074386061753;92.19707638088428;105.35424361240754;92.19707638088428;101.78150629043697;92.4093737048952;86.24813396809573;107.06417494602071;85.26196178592542;93.26346272832193;99.46724763957785;99.92585095768132;89.89375028360132;96.31541902998988;79.5772637306123;89.68723224473376;90.30821407077885;101.78150629043697;95.43338077220086;87.84978967784696;96.09414812530488;93.69346289903146;83.90023551197255;97.65378530006194;86.04999121148714;100.61772354471226;84.09342814000658;81.61625295647981;82.56025748784099;91.14288323117634;84.67567925042412;93.69346289903146;92.4093737048952;90.51616201160321;100.1559449215093;89.48118865153393;112.36229422235937;86.04999121148714;92.19707638088428;91.77394378063636;92.83543601596358;91.56310626602688;90.10074386061753;83.51518073358744;99.69628560183793;82.56025748784099;102.25077972077757;89.48118865153393;88.6617369735164;102.25077972077757;103.19582744802683;90.51616201160321;97.87864749865372;88.4580493090837;87.24571259169099;88.25482958793816;97.65378530006194;93.47821556368753;100.84941064689724;89.27561841403075;92.4093737048952;89.07052044475715;89.48118865153393;88.4580493090837;104.87072703252481;96.31541902998988;89.68723224473376;76.17462641229403
100;1;115.50668655357624;94.77715702038213;112.1041579161951;105.35424361240754;115.77265768219846;122.06191555248;125.76667700754922;121.78149575309698;91.35275312046308;119.56120554261082;105.11220730055531;108.55190226864423;115.77265768219846;103.43345101350522;112.88035139376932;97.42943969022213;115.24132645559527;110.31373257227528;105.5968372484542;118.46628680064781;103.67162174218069;101.5476778317758;96.53719944346616;96.09414812530488;108.05371023835644;97.87864749865372;113.92364240658203;104.14960973171877;110.06030254361242;106.32797494975146;95.43338077220086;98.78328601209519;89.48118865153393;102.25077972077757;104.62980153088488;105.5968372484542;107.55780462860899;126.34653637584607;111.84661464128764;123.75804637224999;115.77265768219846;121.5017201781105;123.47372995481003;131.687069245691;105.5968372484542;122.90705514830907;101.78150629043697;111.07752939570332;112.62102492532209;143.71446089068743;121.5017201781105;112.88035139376932;129.88226945076727;95.21413622430518;117.38139511592345;109.05239126123435;108.55190226864423;115.77265768219846;116.0392412484498;127.51428793112879;104.87072703252481;109.30350042597735;121.78149575309698;121.5017201781105;112.88035139376932;109.30350042597735;98.10402747551902;103.43345101350522;107.80547228788281;101.5476778317758;93.90920587301264;109.80745473420666;118.19412744424307;102.48622717491455;109.80745473420666;110.8223446530412;114.97657598449999;118.73907284398597;99.69628560183793;109.80745473420666;120.11245398749564;105.11220730055531;102.48622717491455;126.63746785245633;142.3983512378432;123.47372995481003;132.59885205668874;129.58388350640496;124.90187393789093;111.33330173875498;104.38942952113904;120.11245398749564;119.01248701729637;121.78149575309698;124.90187393789093;122.06191555248;118.73907284398597;119.28653076694064;135.0612555746781;106.0837016293693
150;1;145.0427346212984;121.22258734750707;120.11245398749564;131.687069245691;137.8861604610773;157.92629242245135;145.0427346212984;136.62342527317932;116.57425133799784;122.06191555248;125.47774604840528;121.22258734750707;149.1016697436037;124.61492974015573;115.50668655357624;129.58388350640496;135.99640077891235;137.5693867214618;145.711468108377;103.43345101350522;134.1325406623339;132.29422515218823;131.99029808444726;132.9041804094259;125.18947886683053;141.4191846239604;129.58388350640496;136.62342527317932;128.6928323718675;129.88226945076727;124.61492974015573;128.98916653998216;152.9220662226185;136.9380207974764;128.98916653998216;102.9587497887163;106.81821031140409;123.75804637224999;119.28653076694064;126.63746785245633;118.73907284398597;123.47372995481003;131.0826998424925;127.51428793112879;123.75804637224999;106.32797494975146;136.9380207974764;116.0392412484498;120.94409578467344;151.8705359171794;116.57425133799784;122.62469376153705;129.28618306108862;130.4811041541137;165.3605796128513;144.37707024389624;137.5693867214618;109.55518780649251;109.55518780649251;149.44499826045774;170.3795201952986;117.11172814305381;112.88035139376932;164.2235189839767;143.3842974641264;135.37225397356013;138.20366361880318;133.82439032753845;130.4811041541137;133.82439032753845;136.9380207974764;120.94409578467344;116.30643866255794;120.94409578467344;129.88226945076727;148.07640943814368;110.8223446530412;139.80217960037407;133.82439032753845;137.5693867214618;126.92906924156685;139.16056641591413;132.29422515218823;138.84086491082343;152.9220662226185;145.37671684325215;185.51364188915767;143.05489254083338;124.04301747004386;128.6928323718675;126.92906924156685;140.77015029810312;127.80790832738843;102.48622717491455;166.88891651518585;130.18134247263782;120.38903057281587;145.0427346212984;111.58966303523249;144.0453845670817
200;1;294.5440067217022;363.9543401153048;298.63688995492015;268.6551052985083;326.6627916155961;255.9874501752332;325.16359357324677;214.9334446689586;347.59166713154747;354.8618009295309;291.17615292023476;289.839818542273;287.18552070336415;411.13779277098024;303.4838572720161;271.1381366980691;309.1196505402723;315.58511398926566;263.15110752834715;319.23529109056983;243.35673705438484;272.3882451720131;342.82784807816876;311.97667347925545;353.23318533291837;311.97667347925545;291.17615292023476;309.8314439851943;290.5072173393252;251.8990521439864;258.94829809685814;302.78664650003196;335.032794319519;314.13675624167104;241.12812241994263;298.63688995492015;290.5072173393252;253.64316587639095;304.18267347431294;286.52575302941904;287.18552070336415;284.5555304183761;289.839818542273;351.6120441636875;317.04014952964735;238.9199170137345;278.08544442808454;311.2599516762814;275.5387909079098;331.20198654813083;339.6882959598702;298.63688995492015;334.2631043753249;313.4150719573846;325.9123305559271;335.032794319519;296.5833881427452;323.67127600466995;324.4165767067347;291.8466288236721;332.729025182434;274.274223205303;285.21076136507946;306.994066649216;269.8937655172144;293.86733397819717;281.9496250833612;306.994066649216;298.63688995492015;254.81261210362217;309.1196505402723;281.9496250833612;310.54487643917764;303.4838572720161;303.4838572720161;266.8077657227987;284.5555304183761;290.5072173393252;238.3710326635721;253.06045696699857;279.367584132936;266.8077657227987;276.1732594861681;305.58513696531435;236.73193393193665;266.1948130274459;269.2737231785496;319.97037728515147;331.20198654813083;293.19221579357423;299.3245453023246;320.70715612377506;292.51864859645656;324.4165767067347;308.4094923390225;339.6882959598702;302.78664650003196;245.60594954833422;222.99033295098835;300.0137840772717
250;1;262.5465554823915;308.4094923390225;325.9123305559271;300.7046099258363;276.1732594861681;332.729025182434;312.6950456395597;338.1293181963075;278.08544442808454;314.86010231013057;332.729025182434;264.97312891521335;309.8314439851943;305.58513696531435;289.839818542273;296.5833881427452;275.5387909079098;292.51864859645656;262.5465554823915;359.79283969449995;304.18267347431294;277.4465828783136;293.19221579357423;286.52575302941904;377.59735161863443;289.839818542273;283.90180477109226;274.9057799304979;306.28879167305405;254.22721655872235;369.0117257090382;334.2631043753249;314.13675624167104;262.5465554823915;289.839818542273;287.18552070336415;325.9123305559271;316.3117951143896;297.95081439736;295.9020302120025;308.4094923390225;256.57689891684043;297.95081439736;291.17615292023476;321.44563150400245;293.86733397819717;322.18580733237013;251.8990521439864;260.74121982026094;304.88309880366177;269.2737231785496;287.84680758938356;234.56398798235475;242.23986683485333;320.70715612377506;325.9123305559271;345.2015400495941;281.3018861310095;298.63688995492015;293.19221579357423;271.76247212298546;361.4516992088564;287.18552070336415;345.9964173501956;316.3117951143896;311.97667347925545;309.8314439851943;265.5832685032748;280.6556352662915;274.9057799304979;324.4165767067347;295.9020302120025;328.1689018548046;388.1641901202389;282.598855549887;322.18580733237013;319.97037728515147;280.01086907053855;306.28879167305405;283.90180477109226;354.0465566776694;295.9020302120025;283.90180477109226;389.05799523938344;280.6556352662915;222.99033295098835;291.17615292023476;317.7701810880355;272.3882451720131;326.6627916155961;346.79312497265164;347.59166713154747;315.58511398926566;221.45699575047882;219.93420215936857;282.598855549887;305.58513696531435;269.2737231785496;307.7009656247064;316.3117951143896
300;1;441.52225237307687;330.44109733708814;359.79283969449995;345.2015400495941;310.54487643917764;340.47047820534823;320.70715612377506;299.3245453023246;349.1942719655453;314.13675624167104;335.032794319519;351.6120441636875;268.6551052985083;306.994066649216;300.7046099258363;342.82784807816876;349.99834311843045;325.16359357324677;329.6819561602209;380.2117827594916;302.091037470114;338.90791066626997;354.8618009295309;323.67127600466995;325.9123305559271;292.51864859645656;338.1293181963075;389.95385847623;310.54487643917764;332.729025182434;297.2663150003028;361.4516992088564;317.7701810880355;367.31816993535824;399.94555307269343;366.4743089566345;317.04014952964735;319.97037728515147;338.1293181963075;338.90791066626997;274.274223205303;304.88309880366177;279.367584132936;307.7009656247064;326.6627916155961;386.382735332994;345.9964173501956;310.54487643917764;325.9123305559271;357.3188143038935;295.2222376036896;340.47047820534823;357.3188143038935;306.28879167305405;381.9647857759958;345.9964173501956;359.79283969449995;276.80918902161307;276.1732594861681;280.6556352662915;300.7046099258363;285.8675010773755;288.50961718568635;291.17615292023476;356.49792541509163;407.3726711933644;288.50961718568635;297.95081439736;393.55798754684844;328.1689018548046;280.6556352662915;328.1689018548046;311.97667347925545;369.86142946290823;309.1196505402723;364.79239849526294;377.59735161863443;258.94829809685814;291.17615292023476;383.7258711816188;363.11820705465465;404.57147500272475;289.1739529985368;370.71308978460263;273.6441173913884;304.88309880366177;372.422298162979;303.4838572720161;328.1689018548046;307.7009656247064;323.67127600466995;349.99834311843045;322.9276875244099;332.729025182434;345.9964173501956;307.7009656247064;393.55798754684844;312.6950456395597;316.3117951143896;291.8466288236721
350;1;315.58511398926566;349.99834311843045;357.3188143038935;328.1689018548046;323.67127600466995;325.16359357324677;295.9020302120025;331.96462781845474;338.1293181963075;320.70715612377506;309.1196505402723;312.6950456395597;340.47047820534823;300.7046099258363;302.78664650003196;314.13675624167104;304.88309880366177;361.4516992088564;324.4165767067347;302.091037470114;309.1196505402723;333.4951826837323;306.994066649216;332.729025182434;308.4094923390225;336.57749526173416;285.21076136507946;322.18580733237013;278.08544442808454;302.78664650003196;360.62131560787793;322.9276875244099;322.9276875244099;319.23529109056983;255.39935560783434;319.23529109056983;306.28879167305405;326.6627916155961;357.3188143038935;293.19221579357423;339.6882959598702;323.67127600466995;304.18267347431294;293.19221579357423;331.20198654813083;328.9245590016707;314.13675624167104;322.9276875244099;329.6819561602209;328.1689018548046;280.01086907053855;341.25446154044994;291.8466288236721;283.2495809650177;273.01545915549303;263.7570516442754;348.39204805117305;314.13675624167104;324.4165767067347;317.04014952964735;353.23318533291837;327.41498072219457;313.4150719573846;354.0465566776694;304.88309880366177;317.7701810880355;300.0137840772717;384.60945641884547;328.1689018548046;336.57749526173416;281.9496250833612;327.41498072219457;354.0465566776694;320.70715612377506;288.50961718568635;304.88309880366177;253.06045696699857;338.90791066626997;343.61725960400435;314.86010231013057;334.2631043753249;366.4743089566345;353.23318533291837;295.2222376036896;312.6950456395597;382.8443158551454;335.032794319519;299.3245453023246;385.4950762409936;319.23529109056983;320.70715612377506;284.5555304183761;339.6882959598702;332.729025182434;269.8937655172144;263.15110752834715;334.2631043753249;338.90791066626997;342.82784807816876;353.23318533291837
400;1;315.58511398926566;333.4951826837323;340.47047820534823;364.79239849526294;347.59166713154747;335.032794319519;347.59166713154747;320.70715612377506;350.80426576336697;354.0465566776694;378.46682503849723;406.43679072472565;382.8443158551454;370.71308978460263;325.9123305559271;391.75177827041654;437.47887570316936;342.82784807816876;318.50189365142256;370.71308978460263;284.5555304183761;358.96626708608295;349.1942719655453;357.3188143038935;386.382735332994;363.9543401153048;325.9123305559271;389.05799523938344;367.31816993535824;365.6323866278597;440.50791812415736;345.9964173501956;342.040250112449;373.27985526137724;337.3525144312268;329.6819561602209;361.4516992088564;300.0137840772717;367.31816993535824;374.13938701108043;349.99834311843045;375.8643926625708;385.4950762409936;397.1954276004851;454.9231122132933;399.94555307269343;413.9844532255518;316.3117951143896;356.49792541509163;325.9123305559271;321.44563150400245;376.72987568964214;369.0117257090382;394.46421267761235;335.80425658797634;322.18580733237013;356.49792541509163;365.6323866278597;410.1932624738291;366.4743089566345;420.703546485842;312.6950456395597;373.27985526137724;392.65384433875624;373.27985526137724;373.27985526137724;351.6120441636875;349.99834311843045;342.82784807816876;344.4084888659446;312.6950456395597;345.9964173501956;363.9543401153048;368.16397402805757;356.49792541509163;358.96626708608295;338.1293181963075;385.4950762409936;342.040250112449;347.59166713154747;349.99834311843045;388.1641901202389;383.7258711816188;278.725777050505;363.11820705465465;362.2839948901666;343.61725960400435;429.50286868328885;417.8106838685425;369.0117257090382;354.8618009295309;338.1293181963075;355.6789224011468;346.79312497265164;368.16397402805757;331.20198654813083;378.46682503849723;406.43679072472565;349.1942719655453;378.46682503849723
450;1;380.2117827594916;399.94555307269343;404.57147500272475;401.78954053643093;378.46682503849723;516.2692442225662;376.72987568964214;368.16397402805757;331.96462781845474;365.6323866278597;356.49792541509163;332.729025182434;361.4516992088564;403.64202988183786;396.28292789392685;330.44109733708814;438.4862351365575;417.8106838685425;414.93771329682374;361.4516992088564;306.994066649216;356.49792541509163;381.9647857759958;347.59166713154747;352.4216825925416;409.250902099993;344.4084888659446;343.61725960400435;430.4918621878093;421.67227825724734;460.184925440363;376.72987568964214;354.0465566776694;398.11002847178173;347.59166713154747;396.28292789392685;360.62131560787793;457.02057900456253;368.16397402805757;556.9794919704281;375.8643926625708;400.866486512238;363.9543401153048;384.60945641884547;344.4084888659446;364.79239849526294;261.94339230832657;338.1293181963075;315.58511398926566;408.3107066643835;377.59735161863443;264.36439103562185;351.6120441636875;365.6323866278597;331.96462781845474;392.65384433875624;379.3383005487472;338.1293181963075;396.28292789392685;295.2222376036896;319.23529109056983;421.67227825724734;394.46421267761235;381.9647857759958;325.9123305559271;349.99834311843045;332.729025182434;387.27243839056536;459.12771636833594;405.50306030765785;390.8517845698973;477.4351888372844;329.6819561602209;331.96462781845474;358.96626708608295;306.28879167305405;342.040250112449;358.96626708608295;410.1932624738291;372.422298162979;347.59166713154747;399.94555307269343;351.6120441636875;370.71308978460263;373.27985526137724;378.46682503849723;396.28292789392685;401.78954053643093;412.0844979880139;367.31816993535824;335.032794319519;253.64316587639095;399.94555307269343;335.80425658797634;333.4951826837323;352.4216825925416;377.59735161863443;367.31816993535824;395.3725245249812;
500;1;356.49792541509163;304.18267347431294;411.13779277098024;332.729025182434;332.729025182434;447.6574952657893;383.7258711816188;416.85082355814023;390.8517845698973;431.4831329952847;377.59735161863443;422.64324067598795;384.60945641884547;387.27243839056536;392.65384433875624;309.8314439851943;414.93771329682374;386.382735332994;338.1293181963075;407.3726711933644;399.0267353460573;383.7258711816188;363.11820705465465;405.50306030765785;343.61725960400435;379.3383005487472;374.13938701108043;375.8643926625708;457.02057900456253;454.9231122132933;438.4862351365575;389.05799523938344;342.82784807816876;309.8314439851943;409.250902099993;413.9844532255518;366.4743089566345;430.4918621878093;401.78954053643093;430.4918621878093;361.4516992088564;429.50286868328885;307.7009656247064;402.7147200282304;379.3383005487472;421.67227825724734;399.94555307269343;340.47047820534823;399.94555307269343;382.8443158551454;440.50791812415736;402.7147200282304;394.46421267761235;374.13938701108043;378.46682503849723;393.55798754684844;562.1273471207604;412.0844979880139;430.4918621878093;365.6323866278597;358.1415934100561;319.23529109056983;400.866486512238;369.0117257090382;433.4725275064743;424.5918780128764;390.8517845698973;395.3725245249812;352.4216825925416;446.6290661734999;418.7727543984368;423.6164388784574;391.75177827041654;407.3726711933644;403.64202988183786;413.0333831330028;389.95385847623;374.13938701108043;399.94555307269343;384.60945641884547;407.3726711933644;380.2117827594916;405.50306030765785;382.8443158551454;309.8314439851943;477.4351888372844;393.55798754684844;420.703546485842;425.5695632393202;346.79312497265164;287.18552070336415;355.6789224011468;342.82784807816876;386.382735332994;341.25446154044994;451.7949473188917;331.96462781845474;485.18410678467933;402.7147200282304;474.1522252837146
