distance;burst_duration;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98
50;1;74.95803476906389;76.52583685851603;80.31275261817575;79.39444634461776;77.76787440525929;79.76050208051753;78.12643067468917;81.9925525455932;73.76087341773129;80.49768453938279;83.51518073358744;92.83543601596358;66.66155637220571;81.05503922506719;73.76087341773129;85.65507026646488;70.76952148581977;66.50841097726541;93.69346289903146;82.56025748784099;78.84851031015829;72.74996467794193;80.49768453938279;74.78582940118197;83.70748671638003;74.27158336739988;79.21204895542955;77.58921383254534;61.64723758177376;73.25367523717904;95.87338555888753;79.39444634461776;85.06608461890904;78.12643067468917;92.83543601596358;65.59689880541715;74.95803476906389;66.96890589345728;69.79960987189996;95.21413622430518;86.8453039596765;82.37058710017779;91.35275312046308;77.4109637069535;84.28706562247159;63.664583600398274;74.44260460817993;72.2497177582651;81.9925525455932;77.9469463702102;74.10095502346904;79.39444634461776;89.07052044475715;89.07052044475715;81.05503922506719;123.19006671368945;77.23312308554021;79.94416236366476;73.42235259482725;75.13063666512456;65.74794530956305;76.8786665943013;79.5772637306123;78.66736713095496;86.64578929039162;85.45828998891848;81.42875128425993;68.36960951264311;67.27767247925628;74.61401965051199;78.12643067468917;76.70204884940001;90.93349548795442;89.07052044475715;71.2595197339615;91.56310626602688;68.36960951264311;83.3233165462957;76.52583685851603;84.28706562247159;80.12824555161734;79.94416236366476;81.9925525455932;74.44260460817993;81.24168037032425;72.41608335620725;75.30363600242836;74.44260460817993;86.8453039596765;86.64578929039162;85.06608461890904;81.61625295647981;73.59141835689192;70.93247871421282;78.12643067468917;77.58921383254534;62.9366346182279;76.17462641229403;76.52583685851603
100;1;108.3025197932092;94.34218330463797;99.01074905214578;97.65378530006194;98.32992642291843;84.48114898371028;81.80418637886815;83.51518073358744;108.3025197932092;92.4093737048952;87.84978967784696;86.64578929039162;91.35275312046308;91.14288323117634;91.35275312046308;64.8468554843353;90.51616201160321;103.43345101350522;101.08163124269969;83.13189313954281;84.28706562247159;111.07752939570332;97.87864749865372;94.77715702038213;81.05503922506719;89.48118865153393;96.53719944346616;92.19707638088428;103.9103408939769;111.33330173875498;98.78328601209519;76.52583685851603;87.84978967784696;107.55780462860899;93.90920587301264;87.04527804082183;84.09342814000658;85.45828998891848;86.8453039596765;97.2056094823455;93.47821556368753;82.56025748784099;94.12544562691185;85.65507026646488;88.6617369735164;83.13189313954281;90.72458878313572;83.51518073358744;103.9103408939769;86.24813396809573;87.84978967784696;90.72458878313572;83.3233165462957;94.55942005273376;79.5772637306123;80.49768453938279;91.14288323117634;104.62980153088488;79.76050208051753;98.55634553585797;97.65378530006194;90.51616201160321;83.51518073358744;80.68304229352877;100.61772354471226;95.87338555888753;79.21204895542955;93.69346289903146;93.69346289903146;87.84978967784696;95.43338077220086;94.99539535941216;95.87338555888753;95.87338555888753;86.24813396809573;91.56310626602688;81.80418637886815;83.51518073358744;86.24813396809573;87.04527804082183;93.90920587301264;85.65507026646488;94.34218330463797;89.68723224473376;88.25482958793816;81.42875128425993;86.24813396809573;95.65313016290338;70.6069386283604;95.43338077220086;73.08538539164365;125.18947886683053;96.75949053895263;104.14960973171877;84.87065745167865;86.64578929039162;;;
150;1;98.10402747551902;93.47821556368753;111.07752939570332;103.9103408939769;97.87864749865372;95.43338077220086;108.05371023835644;106.81821031140409;94.55942005273376;101.78150629043697;82.94090950069848;104.14960973171877;98.55634553585797;97.87864749865372;95.43338077220086;95.43338077220086;102.9587497887163;106.81821031140409;101.08163124269969;105.5968372484542;95.65313016290338;113.40079711762655;108.55190226864423;99.23873585928976;119.83651279733715;109.55518780649251;98.55634553585797;111.84661464128764;105.5968372484542;105.83998949201612;104.38942952113904;110.56774616084073;102.25077972077757;97.87864749865372;105.11220730055531;106.32797494975146;99.23873585928976;93.04920325689164;100.84941064689724;99.23873585928976;95.65313016290338;90.10074386061753;102.01587317350378;107.80547228788281;91.56310626602688;97.2056094823455;112.88035139376932;92.83543601596358;99.92585095768132;111.33330173875498;93.26346272832193;102.01587317350378;94.55942005273376;89.48118865153393;103.19582744802683;97.2056094823455;94.99539535941216;96.75949053895263;90.10074386061753;105.83998949201612;104.14960973171877;98.32992642291843;79.94416236366476;94.77715702038213;102.01587317350378;100.3865687105195;92.83543601596358;108.3025197932092;90.51616201160321;104.87072703252481;78.48664010230719;106.0837016293693;95.21413622430518;82.56025748784099;104.87072703252481;103.9103408939769;109.30350042597735;95.43338077220086;116.30643866255794;100.1559449215093;102.25077972077757;112.1041579161951;101.5476778317758;115.50668655357624;110.31373257227528;96.98229349236969;106.32797494975146;106.0837016293693;99.23873585928976;99.01074905214578;110.06030254361242;96.98229349236969;89.27561841403075;125.18947886683053;96.75949053895263;109.80745473420666;126.92906924156685;109.05239126123435;97.87864749865372
200;1;139.48100408072568;149.1016697436037;148.75912997493032;154.69082083006467;169.5975742568894;202.45718265797558;139.16056641591413;152.5707496392494;143.3842974641264;138.84086491082343;125.47774604840528;139.48100408072568;164.60166778205706;153.62712812636244;164.2235189839767;141.74482308927838;137.25334072422285;164.98068732334383;144.37707024389624;163.46982562039878;134.1325406623339;141.09429426645892;135.0612555746781;139.48100408072568;156.48003352402927;146.72035389152555;169.9880976073776;146.38328485555763;126.63746785245633;149.78911734170106;144.37707024389624;146.04699018750796;166.12299047968008;148.75912997493032;145.0427346212984;161.97280010108508;148.07640943814368;163.46982562039878;150.47973448311032;157.92629242245135;162.71959128443044;161.97280010108508;194.69386863271845;160.12078241236603;165.3605796128513;138.20366361880318;157.92629242245135;151.8705359171794;146.04699018750796;169.2079480779645;153.27419176407454;148.4173771424014;157.56347934485905;133.51694792407994;182.97113726243202;159.019751937195;152.5707496392494;151.17353578131596;161.6006907506438;140.4467510041707;173.14483149362397;152.5707496392494;162.34576628801665;147.05819907850767;138.20366361880318;164.98068732334383;157.92629242245135;168.0444319830006;139.80217960037407;174.3436620399584;160.85903468991685;142.3983512378432;156.48003352402927;155.04701918906255;143.71446089068743;161.6006907506438;145.0427346212984;156.1205430194796;118.73907284398597;148.4173771424014;166.50551309015668;159.38591829654547;135.99640077891235;188.52458457359268;146.38328485555763;153.9808771765164;169.2079480779645;137.5693867214618;133.21021182558732;148.07640943814368;172.74705599836088;148.07640943814368;155.40403774715355;152.5707496392494;148.4173771424014;136.9380207974764;161.2294362682334;174.3436620399584;165.74134666021052
250;1;146.72035389152555;139.48100408072568;144.37707024389624;117.11172814305381;128.10220482778118;118.73907284398597;117.651683036647;116.57425133799784;124.61492974015573;147.73622505843724;157.2014997784399;125.47774604840528;128.39717898913622;106.81821031140409;134.44140055858222;124.61492974015573;169.5975742568894;139.48100408072568;122.06191555248;133.51694792407994;127.51428793112879;128.39717898913622;128.10220482778118;117.651683036647;125.18947886683053;131.0826998424925;138.20366361880318;139.16056641591413;121.78149575309698;130.4811041541137;128.10220482778118;127.22134208574965;96.75949053895263;126.63746785245633;168.43137899504623;138.20366361880318;131.99029808444726;111.58966303523249;142.071211385041;144.0453845670817;126.92906924156685;145.37671684325215;136.9380207974764;135.99640077891235;120.94409578467344;119.83651279733715;141.09429426645892;135.99640077891235;126.63746785245633;128.6928323718675;116.30643866255794;132.59885205668874;138.84086491082343;133.51694792407994;139.80217960037407;127.22134208574965;132.29422515218823;134.750971650153;114.97657598449999;118.73907284398597;114.71243373975977;116.0392412484498;115.77265768219846;118.46628680064781;112.36229422235937;113.66191912619567;151.17353578131596;137.8861604610773;136.30955248712056;126.63746785245633;126.05627327270784;115.24132645559527;125.18947886683053;114.71243373975977;116.84268069149917;123.75804637224999;146.04699018750796;105.35424361240754;126.92906924156685;117.11172814305381;128.10220482778118;131.687069245691;134.44140055858222;129.88226945076727;140.77015029810312;154.3354407858697;127.51428793112879;120.38903057281587;132.9041804094259;124.32864475568945;115.50668655357624;144.0453845670817;150.47973448311032;;;;;;
300;1;84.87065745167865;143.05489254083338;163.0942770678616;155.04701918906255;109.30350042597735;157.2014997784399;130.4811041541137;122.62469376153705;145.711468108377;163.0942770678616;141.74482308927838;162.34576628801665;130.4811041541137;135.0612555746781;137.25334072422285;144.37707024389624;124.04301747004386;126.34653637584607;141.74482308927838;140.4467510041707;178.40003574761784;123.47372995481003;151.52163507434625;146.04699018750796;155.40403774715355;136.9380207974764;128.6928323718675;140.77015029810312;156.1205430194796;117.92259333504816;125.47774604840528;137.25334072422285;158.65442679270308;153.62712812636244;158.65442679270308;135.99640077891235;140.4467510041707;119.83651279733715;171.1650713707123;139.80217960037407;132.59885205668874;134.750971650153;119.28653076694064;129.28618306108862;137.8861604610773;155.04701918906255;146.72035389152555;175.1474902728613;162.34576628801665;136.30955248712056;139.16056641591413;153.62712812636244;136.62342527317932;149.1016697436037;131.687069245691;142.3983512378432;147.39682220370585;115.77265768219846;168.0444319830006;136.9380207974764;123.47372995481003;141.74482308927838;170.7718440912787;138.20366361880318;149.44499826045774;145.0427346212984;160.85903468991685;122.342981059681;122.62469376153705;179.22256628189072;120.94409578467344;124.61492974015573;136.30955248712056;152.9220662226185;163.0942770678616;145.0427346212984;155.04701918906255;128.6928323718675;139.48100408072568;157.92629242245135;147.73622505843724;133.51694792407994;166.88891651518585;155.04701918906255;135.68396849198137;152.9220662226185;146.72035389152555;282.598855549887;150.47973448311032;137.5693867214618;137.8861604610773;164.98068732334383;172.74705599836088;137.25334072422285;143.71446089068743;143.71446089068743;141.09429426645892;;
350;1;177.58128016475786;219.93420215936857;141.74482308927838;169.5975742568894;186.3689703891691;180.46347821208073;157.92629242245135;138.84086491082343;146.38328485555763;196.9457717471083;183.8147433001679;161.6006907506438;127.22134208574965;170.3795201952986;145.711468108377;154.69082083006467;143.71446089068743;183.8147433001679;167.65837392639204;179.22256628189072;188.52458457359268;183.8147433001679;176.3601869479027;109.55518780649251;139.48100408072568;175.1474902728613;167.65837392639204;171.1650713707123;157.2014997784399;171.1650713707123;171.1650713707123;145.37671684325215;170.3795201952986;220.94822996518673;188.09147629452292;139.16056641591413;163.46982562039878;150.13402880772443;168.43137899504623;177.17331256296666;153.62712812636244;183.8147433001679;173.14483149362397;146.38328485555763;160.489484056269;197.39926834329586;140.1240946738786;137.5693867214618;164.2235189839767;168.81921700947953;151.17353578131596;141.09429426645892;161.97280010108508;186.3689703891691;176.76628220841215;154.69082083006467;164.60166778205706;166.50551309015668;144.70951967574905;144.37707024389624;153.9808771765164;118.73907284398597;161.6006907506438;174.74511395537968;169.9880976073776;155.7618783929666;175.5507931209749;144.70951967574905;166.88891651518585;157.2014997784399;131.3845370318381;159.75292780777542;179.63525259166943;148.4173771424014;161.6006907506438;156.48003352402927;162.34576628801665;175.95502463319346;216.9199563019157;172.74705599836088;147.05819907850767;175.95502463319346;163.84623892869473;137.5693867214618;153.9808771765164;149.44499826045774;166.88891651518585;183.3924552080421;149.78911734170106;201.52801833411962;154.69082083006467;165.74134666021052;199.22372122686238;160.489484056269;188.9586901481545;134.750971650153;168.43137899504623;;
400;1;238.9199170137345;304.88309880366177;230.28747517530482;283.2495809650177;247.87595027647916;266.1948130274459;254.81261210362217;233.48747152374744;273.01545915549303;260.1422041467649;212.96512513107268;266.8077657227987;227.13133546963292;251.8990521439864;254.22721655872235;273.01545915549303;180.46347821208073;273.6441173913884;272.3882451720131;253.64316587639095;250.16693137303636;246.17149335836635;269.8937655172144;260.1422041467649;218.92482816947444;221.96693304379488;236.18807616008147;205.27045873705163;222.99033295098835;211.01483108851718;273.6441173913884;242.7976597445259;242.7976597445259;247.30649072036954;221.96693304379488;276.80918902161307;261.94339230832657;273.01545915549303;313.4150719573846;266.1948130274459;0.0;254.22721655872235;222.4780445427044;287.84680758938356;338.1293181963075;242.7976597445259;240.57416503357393;247.87595027647916;260.74121982026094;219.42893477463318;247.30649072036954;251.8990521439864;276.1732594861681;287.18552070336415;268.6551052985083;285.21076136507946;264.97312891521335;241.6833553746412;246.17149335836635;275.5387909079098;311.97667347925545;227.13133546963292;251.8990521439864;238.3710326635721;260.1422041467649;279.367584132936;264.36439103562185;261.94339230832657;295.2222376036896;274.9057799304979;319.97037728515147;273.6441173913884;249.01880620114244;176.76628220841215;262.5465554823915;291.8466288236721;238.3710326635721;268.0379086046006;226.60953370011526;245.04170499434795;235.10410605239272;240.57416503357393;263.7570516442754;216.9199563019157;254.22721655872235;248.44672109694383;280.6556352662915;242.7976597445259;261.34161481541787;300.7046099258363;261.34161481541787;242.23986683485333;247.87595027647916;276.80918902161307;251.32035008653247;300.0137840772717;258.94829809685814;213.45550864373638;219.42893477463318
450;1;342.82784807816876;292.51864859645656;293.19221579357423;295.2222376036896;331.20198654813083;481.84785973673024;338.90791066626997;305.58513696531435;317.7701810880355;318.50189365142256;279.367584132936;332.729025182434;302.78664650003196;258.94829809685814;281.9496250833612;331.96462781845474;357.3188143038935;337.3525144312268;274.9057799304979;327.41498072219457;301.3970265024886;302.78664650003196;285.21076136507946;306.994066649216;311.2599516762814;318.50189365142256;345.9964173501956;277.4465828783136;279.367584132936;309.1196505402723;271.76247212298546;318.50189365142256;322.18580733237013;308.4094923390225;311.2599516762814;302.78664650003196;335.80425658797634;304.18267347431294;295.2222376036896;323.67127600466995;348.39204805117305;335.80425658797634;254.22721655872235;325.16359357324677;314.86010231013057;342.82784807816876;303.4838572720161;296.5833881427452;360.62131560787793;249.01880620114244;308.4094923390225;318.50189365142256;322.9276875244099;267.4221298318544;317.04014952964735;308.4094923390225;305.58513696531435;345.2015400495941;326.6627916155961;334.2631043753249;300.7046099258363;285.8675010773755;318.50189365142256;311.2599516762814;311.97667347925545;296.5833881427452;301.3970265024886;310.54487643917764;245.60594954833422;314.13675624167104;335.80425658797634;286.52575302941904;312.6950456395597;260.1422041467649;263.7570516442754;283.2495809650177;262.5465554823915;308.4094923390225;273.01545915549303;322.18580733237013;309.8314439851943;355.6789224011468;308.4094923390225;271.76247212298546;294.5440067217022;319.97037728515147;303.4838572720161;351.6120441636875;285.8675010773755;292.51864859645656;308.4094923390225;278.725777050505;314.86010231013057;319.23529109056983;322.9276875244099;310.54487643917764;;;
500;1;316.3117951143896;336.57749526173416;300.7046099258363;281.9496250833612;333.4951826837323;366.4743089566345;327.41498072219457;343.61725960400435;414.93771329682374;363.11820705465465;353.23318533291837;308.4094923390225;379.3383005487472;434.47066173409036;408.3107066643835;349.99834311843045;367.31816993535824;375.8643926625708;293.19221579357423;349.99834311843045;278.725777050505;377.59735161863443;309.8314439851943;335.80425658797634;344.4084888659446;345.9964173501956;342.82784807816876;381.9647857759958;371.5667111794065;410.1932624738291;358.96626708608295;346.79312497265164;370.71308978460263;331.20198654813083;339.6882959598702;367.31816993535824;331.96462781845474;344.4084888659446;330.44109733708814;353.23318533291837;369.86142946290823;410.1932624738291;351.6120441636875;377.59735161863443;344.4084888659446;313.4150719573846;361.4516992088564;390.8517845698973;334.2631043753249;356.49792541509163;336.57749526173416;420.703546485842;366.4743089566345;345.9964173501956;380.2117827594916;406.43679072472565;299.3245453023246;378.46682503849723;371.5667111794065;349.1942719655453;359.79283969449995;345.2015400495941;356.49792541509163;406.43679072472565;285.8675010773755;319.23529109056983;395.3725245249812;313.4150719573846;353.23318533291837;368.16397402805757;314.86010231013057;333.4951826837323;302.091037470114;525.8565308655895;394.46421267761235;334.2631043753249;360.62131560787793;331.20198654813083;401.78954053643093;433.4725275064743;342.040250112449;363.11820705465465;334.2631043753249;300.0137840772717;341.25446154044994;380.2117827594916;322.9276875244099;312.6950456395597;285.21076136507946;331.96462781845474;349.99834311843045;359.79283969449995;360.62131560787793;336.57749526173416;394.46421267761235;401.78954053643093;399.94555307269343;353.23318533291837;
