distance;burst_period;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;90.72458878313572;64.40095231654168;52.479804559022796;87.84978967784696;80.86882686115663;63.664583600398274;74.78582940118197;65.29584602316763;70.93247871421282;72.58283203539922;90.93349548795442;77.76787440525929;80.68304229352877;77.58921383254534;86.04999121148714;85.06608461890904;84.28706562247159;78.84851031015829;86.04999121148714;76.70204884940001;78.84851031015829;80.68304229352877;83.13189313954281;77.05569102752814;73.42235259482725;75.65083066354039;72.74996467794193;81.61625295647981;97.42943969022213;86.8453039596765;85.65507026646488;72.74996467794193;78.30632826816861;79.76050208051753;86.64578929039162;67.12311164564821;77.58921383254534;78.66736713095496;69.63925524770207;81.42875128425993;75.30363600242836;76.52583685851603;85.06608461890904;92.4093737048952;77.58921383254534;79.39444634461776;86.64578929039162;85.26196178592542;84.48114898371028;82.56025748784099;84.09342814000658;76.8786665943013;86.04999121148714;69.47926901532685;95.87338555888753;91.14288323117634;76.70204884940001;74.10095502346904;72.41608335620725;76.8786665943013;73.93071867376308;69.00151221557883;78.84851031015829;79.39444634461776;88.4580493090837;88.05207673504692;76.52583685851603;74.78582940118197;71.7529106612982;83.70748671638003;84.09342814000658;87.64796734623927;81.61625295647981;80.12824555161734;70.28289258796383;70.12142769082233;78.30632826816861;71.7529106612982;89.89375028360132;94.99539535941216;83.3233165462957;75.99962609905195;78.66736713095496;84.87065745167865;86.8453039596765;91.14288323117634;87.44660867258324;76.35002968948747;73.08538539164365;69.16039834267852;74.61401965051199;75.82502782400917;76.52583685851603;93.69346289903146;77.76787440525929;77.05569102752814;75.99962609905195;80.68304229352877;;
100;1;93.04920325689164;80.86882686115663;80.49768453938279;96.09414812530488;88.25482958793816;85.06608461890904;93.90920587301264;101.08163124269969;79.5772637306123;102.48622717491455;97.42943969022213;75.30363600242836;90.30821407077885;93.69346289903146;80.86882686115663;94.12544562691185;96.09414812530488;90.93349548795442;87.44660867258324;88.25482958793816;82.75036461945882;88.4580493090837;87.64796734623927;99.46724763957785;89.48118865153393;103.67162174218069;91.56310626602688;97.87864749865372;88.05207673504692;80.12824555161734;99.92585095768132;88.05207673504692;95.43338077220086;89.48118865153393;87.24571259169099;89.48118865153393;84.67567925042412;85.85230365953272;83.70748671638003;106.32797494975146;95.21413622430518;100.84941064689724;98.10402747551902;84.67567925042412;87.64796734623927;81.24168037032425;96.53719944346616;86.24813396809573;94.34218330463797;93.04920325689164;89.48118865153393;108.05371023835644;84.48114898371028;100.3865687105195;90.51616201160321;91.98526677962242;98.55634553585797;94.34218330463797;78.84851031015829;84.09342814000658;95.43338077220086;103.67162174218069;89.07052044475715;86.8453039596765;85.65507026646488;86.44673297753417;75.99962609905195;82.18135245311242;90.72458878313572;86.24813396809573;104.38942952113904;95.65313016290338;94.12544562691185;89.89375028360132;79.94416236366476;86.04999121148714;88.86589365874443;95.87338555888753;79.39444634461776;93.26346272832193;94.34218330463797;79.76050208051753;100.61772354471226;81.05503922506719;84.09342814000658;152.9220662226185;90.30821407077885;82.56025748784099;97.87864749865372;95.87338555888753;89.68723224473376;98.10402747551902;90.51616201160321;86.64578929039162;98.10402747551902;84.48114898371028;;;;
150;1;108.05371023835644;141.4191846239604;101.5476778317758;92.83543601596358;103.9103408939769;103.9103408939769;102.48622717491455;98.10402747551902;85.85230365953272;84.87065745167865;94.55942005273376;90.10074386061753;102.9587497887163;108.05371023835644;99.23873585928976;94.77715702038213;106.0837016293693;97.87864749865372;109.30350042597735;99.23873585928976;106.32797494975146;96.31541902998988;110.56774616084073;103.43345101350522;102.25077972077757;99.01074905214578;110.31373257227528;94.34218330463797;92.62215987470853;96.53719944346616;112.62102492532209;115.77265768219846;88.4580493090837;110.8223446530412;110.8223446530412;96.98229349236969;86.64578929039162;99.23873585928976;109.30350042597735;108.80185898389541;83.90023551197255;99.92585095768132;116.57425133799784;108.3025197932092;94.99539535941216;112.36229422235937;101.31438656056716;107.3107059503725;100.61772354471226;109.05239126123435;79.5772637306123;100.1559449215093;108.80185898389541;57.141372731980404;93.69346289903146;89.48118865153393;103.67162174218069;87.04527804082183;91.14288323117634;100.1559449215093;95.43338077220086;100.1559449215093;93.26346272832193;119.28653076694064;94.77715702038213;96.31541902998988;111.84661464128764;90.72458878313572;98.55634553585797;103.9103408939769;94.99539535941216;108.3025197932092;100.1559449215093;104.38942952113904;98.78328601209519;87.64796734623927;97.2056094823455;102.48622717491455;106.57281074536908;93.90920587301264;94.55942005273376;102.25077972077757;84.87065745167865;105.35424361240754;91.35275312046308;87.24571259169099;130.18134247263782;96.53719944346616;100.84941064689724;113.40079711762655;95.87338555888753;108.80185898389541;107.80547228788281;117.92259333504816;106.32797494975146;100.84941064689724;122.342981059681;102.25077972077757;;
200;1;156.1205430194796;147.73622505843724;153.9808771765164;147.05819907850767;143.05489254083338;131.99029808444726;147.39682220370585;174.74511395537968;168.43137899504623;169.5975742568894;143.3842974641264;180.46347821208073;158.65442679270308;183.3924552080421;134.750971650153;130.18134247263782;163.0942770678616;144.70951967574905;136.9380207974764;143.05489254083338;134.44140055858222;156.84035180832117;109.30350042597735;148.4173771424014;151.52163507434625;147.05819907850767;156.84035180832117;161.97280010108508;148.07640943814368;135.37225397356013;147.39682220370585;147.73622505843724;169.5975742568894;146.72035389152555;153.9808771765164;147.39682220370585;139.80217960037407;162.71959128443044;155.40403774715355;150.47973448311032;149.78911734170106;139.80217960037407;153.62712812636244;156.84035180832117;139.16056641591413;146.72035389152555;147.39682220370585;118.46628680064781;158.65442679270308;162.71959128443044;165.3605796128513;172.35019433542686;175.5507931209749;161.2294362682334;150.13402880772443;180.87902190402875;152.2202401555017;161.6006907506438;163.46982562039878;149.78911734170106;136.9380207974764;153.9808771765164;155.04701918906255;160.12078241236603;163.0942770678616;163.0942770678616;166.12299047968008;139.16056641591413;153.27419176407454;149.44499826045774;130.78155608093476;160.85903468991685;158.65442679270308;138.84086491082343;145.711468108377;144.70951967574905;155.40403774715355;149.78911734170106;142.3983512378432;140.4467510041707;142.3983512378432;154.3354407858697;146.38328485555763;158.2899409304989;150.13402880772443;145.0427346212984;155.7618783929666;159.75292780777542;143.71446089068743;155.40403774715355;158.65442679270308;140.77015029810312;159.019751937195;156.48003352402927;139.48100408072568;158.65442679270308;146.38328485555763;136.30955248712056;;
250;1;131.0826998424925;148.75912997493032;127.22134208574965;133.82439032753845;123.47372995481003;143.71446089068743;121.78149575309698;149.44499826045774;147.05819907850767;128.10220482778118;117.38139511592345;134.44140055858222;135.0612555746781;121.5017201781105;132.9041804094259;125.76667700754922;116.57425133799784;133.51694792407994;130.78155608093476;128.98916653998216;133.21021182558732;112.36229422235937;124.90187393789093;107.3107059503725;124.32864475568945;126.05627327270784;107.55780462860899;132.9041804094259;150.82623619664253;146.04699018750796;127.22134208574965;123.47372995481003;151.8705359171794;145.711468108377;145.37671684325215;121.5017201781105;141.09429426645892;124.04301747004386;137.25334072422285;125.76667700754922;148.07640943814368;127.80790832738843;134.1325406623339;102.48622717491455;129.88226945076727;130.4811041541137;146.04699018750796;139.48100408072568;147.05819907850767;130.78155608093476;124.61492974015573;140.77015029810312;104.87072703252481;129.88226945076727;135.0612555746781;141.4191846239604;139.16056641591413;140.1240946738786;139.80217960037407;135.37225397356013;119.01248701729637;113.92364240658203;126.34653637584607;143.71446089068743;121.5017201781105;151.17353578131596;117.92259333504816;113.14027499953865;146.72035389152555;134.44140055858222;134.750971650153;131.99029808444726;126.63746785245633;113.92364240658203;150.47973448311032;98.10402747551902;108.80185898389541;124.04301747004386;136.9380207974764;133.21021182558732;126.92906924156685;131.0826998424925;160.489484056269;166.12299047968008;131.3845370318381;124.32864475568945;122.342981059681;137.25334072422285;120.66624401638853;102.9587497887163;123.19006671368945;120.11245398749564;134.44140055858222;;;;;;;
300;1;140.4467510041707;182.97113726243202;151.8705359171794;154.69082083006467;112.88035139376932;144.37707024389624;181.29552244642448;138.84086491082343;151.8705359171794;139.80217960037407;140.1240946738786;127.51428793112879;152.5707496392494;149.78911734170106;143.71446089068743;129.88226945076727;168.43137899504623;135.68396849198137;153.27419176407454;148.07640943814368;153.9808771765164;160.12078241236603;139.48100408072568;173.14483149362397;124.90187393789093;124.04301747004386;151.17353578131596;144.70951967574905;129.28618306108862;151.8705359171794;158.65442679270308;132.29422515218823;177.99018717193525;143.3842974641264;159.019751937195;157.92629242245135;158.2899409304989;145.0427346212984;128.98916653998216;149.44499826045774;142.72624437825547;156.1205430194796;149.44499826045774;135.99640077891235;147.73622505843724;168.0444319830006;119.28653076694064;139.80217960037407;144.0453845670817;155.40403774715355;142.3983512378432;149.78911734170106;166.88891651518585;107.55780462860899;146.72035389152555;154.3354407858697;147.73622505843724;142.3983512378432;149.1016697436037;161.6006907506438;153.27419176407454;140.77015029810312;145.37671684325215;125.47774604840528;121.22258734750707;137.25334072422285;150.82623619664253;137.8861604610773;118.73907284398597;128.10220482778118;143.05489254083338;167.27320278297256;162.71959128443044;117.11172814305381;117.651683036647;150.47973448311032;149.1016697436037;103.67162174218069;135.0612555746781;119.56120554261082;123.75804637224999;131.99029808444726;119.83651279733715;143.05489254083338;143.71446089068743;138.84086491082343;145.37671684325215;169.9880976073776;134.750971650153;153.62712812636244;150.82623619664253;131.3845370318381;127.51428793112879;145.711468108377;155.04701918906255;155.40403774715355;136.30955248712056;131.99029808444726;155.7618783929666;
350;1;176.3601869479027;163.84623892869473;161.97280010108508;179.63525259166943;169.2079480779645;144.70951967574905;146.38328485555763;150.82623619664253;174.3436620399584;154.3354407858697;148.07640943814368;140.4467510041707;173.14483149362397;179.63525259166943;193.8003335433133;141.09429426645892;153.9808771765164;174.3436620399584;171.95424440542277;160.85903468991685;133.82439032753845;148.4173771424014;176.76628220841215;149.1016697436037;156.84035180832117;180.87902190402875;160.12078241236603;169.9880976073776;147.39682220370585;137.25334072422285;156.84035180832117;152.9220662226185;154.3354407858697;122.90705514830907;165.3605796128513;188.52458457359268;196.49331699451255;154.69082083006467;156.1205430194796;153.62712812636244;158.2899409304989;149.1016697436037;183.3924552080421;197.85380918207326;190.7051314091029;172.74705599836088;168.43137899504623;168.0444319830006;173.14483149362397;164.98068732334383;164.60166778205706;154.69082083006467;160.85903468991685;177.58128016475786;163.46982562039878;143.71446089068743;150.47973448311032;164.60166778205706;155.40403774715355;183.3924552080421;154.3354407858697;170.3795201952986;152.9220662226185;192.0255470109072;163.0942770678616;155.40403774715355;163.0942770678616;144.70951967574905;187.2282424635478;160.85903468991685;155.40403774715355;182.97113726243202;153.27419176407454;154.3354407858697;155.7618783929666;138.84086491082343;174.74511395537968;187.65936301980136;177.99018717193525;161.2294362682334;171.55920411377264;135.68396849198137;132.9041804094259;163.46982562039878;171.1650713707123;158.65442679270308;160.85903468991685;171.95424440542277;159.75292780777542;138.52189787423194;161.6006907506438;139.16056641591413;146.38328485555763;166.88891651518585;151.8705359171794;219.93420215936857;180.87902190402875;;;
400;1;234.56398798235475;296.5833881427452;229.23058549940114;234.56398798235475;268.0379086046006;250.7429775143165;261.94339230832657;225.56952370197416;250.16693137303636;227.65433876444487;250.7429775143165;231.88195337772558;273.01545915549303;283.2495809650177;247.87595027647916;228.70396100307693;229.23058549940114;246.17149335836635;275.5387909079098;241.12812241994263;274.274223205303;195.5915234516484;276.80918902161307;224.53428676337103;264.36439103562185;297.2663150003028;222.4780445427044;281.3018861310095;271.76247212298546;291.17615292023476;276.1732594861681;224.53428676337103;270.5152355945282;266.8077657227987;250.7429775143165;278.725777050505;289.1739529985368;251.32035008653247;273.01545915549303;283.90180477109226;269.8937655172144;240.57416503357393;300.0137840772717;251.32035008653247;254.22721655872235;226.0889306955594;242.23986683485333;219.42893477463318;264.97312891521335;290.5072173393252;274.9057799304979;264.36439103562185;239.4700652508151;231.34923774277578;189.39379531462785;254.81261210362217;226.0889306955594;247.87595027647916;260.74121982026094;253.06045696699857;251.8990521439864;226.60953370011526;250.7429775143165;265.5832685032748;271.76247212298546;266.8077657227987;194.69386863271845;205.7431241490039;243.9171017219502;236.18807616008147;253.06045696699857;321.44563150400245;243.35673705438484;250.16693137303636;244.4787567115525;233.48747152374744;266.1948130274459;245.60594954833422;291.8466288236721;268.6551052985083;261.34161481541787;302.78664650003196;217.92008663711292;251.8990521439864;257.75987140260105;272.3882451720131;273.6441173913884;273.6441173913884;244.4787567115525;193.35510498527697;288.50961718568635;269.8937655172144;221.96693304379488;295.2222376036896;299.3245453023246;231.34923774277578;244.4787567115525;;;
450;1;306.994066649216;291.8466288236721;293.86733397819717;301.3970265024886;339.6882959598702;326.6627916155961;306.994066649216;261.94339230832657;322.18580733237013;291.8466288236721;341.25446154044994;291.8466288236721;328.1689018548046;266.1948130274459;288.50961718568635;356.49792541509163;278.08544442808454;315.58511398926566;308.4094923390225;297.95081439736;267.4221298318544;328.1689018548046;302.091037470114;298.63688995492015;322.18580733237013;265.5832685032748;350.80426576336697;255.39935560783434;345.2015400495941;284.5555304183761;294.5440067217022;319.23529109056983;338.1293181963075;303.4838572720161;286.52575302941904;291.17615292023476;304.18267347431294;283.2495809650177;323.67127600466995;325.16359357324677;311.97667347925545;254.81261210362217;308.4094923390225;285.21076136507946;280.01086907053855;336.57749526173416;318.50189365142256;307.7009656247064;293.19221579357423;327.41498072219457;314.86010231013057;328.1689018548046;320.70715612377506;359.79283969449995;337.3525144312268;323.67127600466995;315.58511398926566;262.5465554823915;323.67127600466995;299.3245453023246;281.9496250833612;333.4951826837323;364.79239849526294;272.3882451720131;302.091037470114;338.1293181963075;294.5440067217022;277.4465828783136;289.839818542273;315.58511398926566;305.58513696531435;291.17615292023476;367.31816993535824;317.7701810880355;309.1196505402723;296.5833881427452;285.8675010773755;253.06045696699857;293.19221579357423;285.8675010773755;300.7046099258363;287.18552070336415;325.16359357324677;314.86010231013057;317.7701810880355;302.78664650003196;406.43679072472565;309.8314439851943;279.367584132936;288.50961718568635;270.5152355945282;289.1739529985368;305.58513696531435;315.58511398926566;267.4221298318544;328.1689018548046;301.3970265024886;;;
500;1;348.39204805117305;375.0008979590133;329.6819561602209;337.3525144312268;317.7701810880355;317.04014952964735;347.59166713154747;383.7258711816188;394.46421267761235;328.1689018548046;363.9543401153048;310.54487643917764;379.3383005487472;346.79312497265164;358.96626708608295;347.59166713154747;362.2839948901666;365.6323866278597;345.9964173501956;323.67127600466995;335.80425658797634;400.866486512238;338.1293181963075;372.422298162979;342.82784807816876;399.94555307269343;404.57147500272475;355.6789224011468;345.9964173501956;422.64324067598795;377.59735161863443;332.729025182434;390.8517845698973;358.1415934100561;342.040250112449;353.23318533291837;410.1932624738291;358.96626708608295;324.4165767067347;334.2631043753249;397.1954276004851;353.23318533291837;360.62131560787793;405.50306030765785;391.75177827041654;503.3714770685424;304.88309880366177;342.040250112449;353.23318533291837;354.8618009295309;356.49792541509163;387.27243839056536;363.9543401153048;363.9543401153048;319.97037728515147;322.9276875244099;358.96626708608295;412.0844979880139;353.23318533291837;399.94555307269343;306.28879167305405;354.0465566776694;345.9964173501956;359.79283969449995;322.9276875244099;347.59166713154747;366.4743089566345;311.97667347925545;332.729025182434;363.9543401153048;294.5440067217022;307.7009656247064;377.59735161863443;329.6819561602209;292.51864859645656;307.7009656247064;335.032794319519;295.2222376036896;322.9276875244099;385.4950762409936;336.57749526173416;325.16359357324677;287.18552070336415;335.80425658797634;335.032794319519;304.88309880366177;273.6441173913884;350.80426576336697;337.3525144312268;412.0844979880139;390.8517845698973;350.80426576336697;382.8443158551454;305.58513696531435;342.040250112449;273.01545915549303;381.9647857759958;;;
