distance;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93
50;87.64796734623927;84.09342814000658;85.06608461890904;79.39444634461776;87.04527804082183;78.12643067468917;78.12643067468917;74.10095502346904;69.16039834267852;87.04527804082183;78.30632826816861;88.6617369735164;85.45828998891848;90.51616201160321;81.05503922506719;83.90023551197255;59.1471508190685;85.85230365953272;72.08373436149837;77.76787440525929;81.42875128425993;77.9469463702102;70.76952148581977;78.12643067468917;69.96033373619683;71.2595197339615;85.45828998891848;97.42943969022213;81.80418637886815;73.93071867376308;79.94416236366476;87.84978967784696;72.41608335620725;88.4580493090837;82.56025748784099;71.7529106612982;81.24168037032425;94.99539535941216;77.76787440525929;79.03007059816505;74.95803476906389;69.63925524770207;72.74996467794193;70.93247871421282;80.68304229352877;88.86589365874443;81.9925525455932;73.25367523717904;84.87065745167865;82.75036461945882;72.41608335620725;85.06608461890904;81.42875128425993;90.93349548795442;86.64578929039162;78.84851031015829;77.76787440525929;85.26196178592542;80.86882686115663;76.8786665943013;78.66736713095496;64.8468554843353;76.70204884940001;81.61625295647981;89.89375028360132;85.45828998891848;115.77265768219846;76.70204884940001;67.12311164564821;76.8786665943013;72.91748216796745;79.94416236366476;79.94416236366476;78.66736713095496;67.43258921190868;73.93071867376308;71.42360525536486;76.70204884940001;91.77394378063636;87.64796734623927;83.70748671638003;80.12824555161734;94.55942005273376;72.08373436149837;81.61625295647981;90.10074386061753;68.52704059086128;77.05569102752814;92.4093737048952;72.58283203539922;84.28706562247159;90.10074386061753;96.53719944346616;60.24553251692554
100;100.3865687105195;97.2056094823455;99.69628560183793;89.68723224473376;94.34218330463797;107.55780462860899;96.09414812530488;96.53719944346616;101.08163124269969;103.19582744802683;110.06030254361242;83.90023551197255;89.07052044475715;92.83543601596358;98.55634553585797;85.65507026646488;97.2056094823455;108.55190226864423;90.51616201160321;107.3107059503725;97.42943969022213;96.09414812530488;90.30821407077885;87.84978967784696;101.31438656056716;76.8786665943013;86.04999121148714;77.58921383254534;91.56310626602688;108.05371023835644;84.87065745167865;106.32797494975146;88.05207673504692;86.44673297753417;95.21413622430518;91.35275312046308;88.86589365874443;89.07052044475715;99.23873585928976;105.35424361240754;91.77394378063636;93.90920587301264;83.51518073358744;103.67162174218069;121.22258734750707;88.25482958793816;107.06417494602071;81.24168037032425;110.06030254361242;102.9587497887163;105.35424361240754;86.24813396809573;109.55518780649251;134.750971650153;91.98526677962242;104.38942952113904;84.48114898371028;86.24813396809573;90.10074386061753;84.87065745167865;98.32992642291843;100.84941064689724;99.01074905214578;80.49768453938279;85.85230365953272;85.26196178592542;96.98229349236969;93.90920587301264;93.90920587301264;96.31541902998988;85.06608461890904;88.05207673504692;97.65378530006194;84.67567925042412;97.42943969022213;98.32992642291843;89.89375028360132;85.85230365953272;108.05371023835644;90.51616201160321;102.01587317350378;105.11220730055531;93.47821556368753;79.76050208051753;112.88035139376932;91.14288323117634;99.92585095768132;101.31438656056716;90.51616201160321;97.2056094823455;113.92364240658203;98.55634553585797;100.1559449215093;96.75949053895263
150;84.67567925042412;108.05371023835644;111.58966303523249;105.35424361240754;93.90920587301264;101.5476778317758;104.38942952113904;89.48118865153393;100.3865687105195;111.33330173875498;98.55634553585797;96.98229349236969;105.5968372484542;100.61772354471226;104.38942952113904;106.32797494975146;103.43345101350522;105.35424361240754;111.33330173875498;101.78150629043697;99.92585095768132;90.93349548795442;97.2056094823455;102.25077972077757;104.87072703252481;92.83543601596358;121.22258734750707;98.78328601209519;101.78150629043697;102.72221678143227;102.9587497887163;99.01074905214578;99.69628560183793;104.14960973171877;99.92585095768132;104.87072703252481;100.1559449215093;89.48118865153393;96.53719944346616;99.69628560183793;94.77715702038213;105.5968372484542;96.75949053895263;90.10074386061753;81.80418637886815;102.01587317350378;94.12544562691185;122.06191555248;100.1559449215093;100.84941064689724;97.2056094823455;104.87072703252481;103.9103408939769;100.1559449215093;101.5476778317758;100.3865687105195;101.78150629043697;111.33330173875498;108.05371023835644;88.25482958793816;96.75949053895263;98.78328601209519;111.33330173875498;99.92585095768132;114.44889832406156;104.14960973171877;110.31373257227528;104.38942952113904;100.61772354471226;114.44889832406156;94.34218330463797;117.11172814305381;95.87338555888753;106.57281074536908;97.2056094823455;93.47821556368753;88.4580493090837;92.4093737048952;112.36229422235937;100.61772354471226;112.1041579161951;111.33330173875498;96.09414812530488;91.98526677962242;94.12544562691185;120.66624401638853;93.69346289903146;108.3025197932092;102.01587317350378;123.19006671368945;109.30350042597735;99.01074905214578;103.43345101350522;103.9103408939769
200;166.88891651518585;161.6006907506438;142.72624437825547;161.97280010108508;137.5693867214618;154.3354407858697;164.2235189839767;143.71446089068743;159.38591829654547;153.62712812636244;114.1859683433024;134.1325406623339;140.1240946738786;133.82439032753845;148.75912997493032;161.97280010108508;136.62342527317932;166.50551309015668;137.5693867214618;152.2202401555017;152.5707496392494;135.37225397356013;166.12299047968008;153.9808771765164;163.46982562039878;134.44140055858222;136.62342527317932;152.9220662226185;137.5693867214618;129.28618306108862;141.74482308927838;140.4467510041707;125.18947886683053;150.13402880772443;163.84623892869473;142.071211385041;151.17353578131596;142.3983512378432;148.75912997493032;153.62712812636244;149.44499826045774;143.3842974641264;169.5975742568894;138.84086491082343;147.39682220370585;153.62712812636244;140.1240946738786;122.90705514830907;181.29552244642448;122.06191555248;157.2014997784399;159.38591829654547;139.16056641591413;145.0427346212984;131.99029808444726;154.3354407858697;181.29552244642448;134.750971650153;144.0453845670817;149.44499826045774;144.37707024389624;136.9380207974764;145.711468108377;151.8705359171794;146.72035389152555;171.1650713707123;147.73622505843724;147.05819907850767;155.7618783929666;130.78155608093476;129.58388350640496;160.489484056269;142.72624437825547;159.38591829654547;124.32864475568945;146.04699018750796;137.8861604610773;133.21021182558732;133.51694792407994;131.99029808444726;133.82439032753845;144.37707024389624;127.22134208574965;147.39682220370585;144.37707024389624;143.71446089068743;128.98916653998216;131.99029808444726;;;;;;
250;146.04699018750796;129.58388350640496;126.92906924156685;123.47372995481003;150.13402880772443;151.52163507434625;138.20366361880318;129.58388350640496;134.44140055858222;123.47372995481003;119.83651279733715;158.2899409304989;120.11245398749564;118.73907284398597;127.80790832738843;124.90187393789093;122.62469376153705;127.22134208574965;126.92906924156685;129.88226945076727;54.82402007882165;150.82623619664253;141.09429426645892;119.83651279733715;133.82439032753845;149.1016697436037;124.61492974015573;133.21021182558732;130.78155608093476;122.06191555248;144.37707024389624;137.5693867214618;140.77015029810312;133.51694792407994;136.9380207974764;129.28618306108862;134.44140055858222;152.9220662226185;138.52189787423194;138.84086491082343;157.56347934485905;133.82439032753845;126.34653637584607;139.80217960037407;124.61492974015573;137.5693867214618;113.92364240658203;112.62102492532209;138.84086491082343;133.51694792407994;146.72035389152555;134.750971650153;139.80217960037407;127.22134208574965;121.78149575309698;131.3845370318381;133.51694792407994;136.30955248712056;135.37225397356013;127.80790832738843;140.77015029810312;131.687069245691;138.84086491082343;141.74482308927838;133.21021182558732;134.1325406623339;144.70951967574905;135.68396849198137;147.05819907850767;132.9041804094259;143.3842974641264;149.44499826045774;147.73622505843724;132.29422515218823;129.88226945076727;130.4811041541137;143.71446089068743;112.88035139376932;119.56120554261082;137.8861604610773;144.70951967574905;142.3983512378432;120.66624401638853;132.29422515218823;136.9380207974764;136.9380207974764;114.71243373975977;128.98916653998216;137.8861604610773;140.77015029810312;129.88226945076727;134.750971650153;129.58388350640496;124.90187393789093
300;140.77015029810312;153.9808771765164;145.37671684325215;146.04699018750796;113.40079711762655;156.1205430194796;131.99029808444726;151.52163507434625;156.1205430194796;162.34576628801665;147.73622505843724;170.7718440912787;141.4191846239604;129.88226945076727;152.9220662226185;196.49331699451255;162.71959128443044;135.68396849198137;140.4467510041707;166.50551309015668;143.71446089068743;151.8705359171794;155.40403774715355;123.47372995481003;123.75804637224999;149.1016697436037;153.62712812636244;127.80790832738843;139.48100408072568;155.04701918906255;153.9808771765164;133.51694792407994;147.73622505843724;175.95502463319346;158.2899409304989;137.25334072422285;130.4811041541137;146.04699018750796;150.13402880772443;195.5915234516484;144.70951967574905;141.09429426645892;138.20366361880318;157.2014997784399;128.10220482778118;160.489484056269;125.76667700754922;159.019751937195;115.77265768219846;134.44140055858222;156.1205430194796;177.99018717193525;140.1240946738786;137.8861604610773;155.7618783929666;142.72624437825547;144.37707024389624;126.34653637584607;120.66624401638853;159.38591829654547;160.85903468991685;141.09429426645892;154.69082083006467;110.8223446530412;136.62342527317932;141.09429426645892;153.27419176407454;141.4191846239604;128.10220482778118;149.44499826045774;167.27320278297256;141.4191846239604;141.09429426645892;188.52458457359268;166.12299047968008;172.74705599836088;152.2202401555017;156.1205430194796;125.47774604840528;139.48100408072568;145.711468108377;147.05819907850767;179.63525259166943;168.81921700947953;143.3842974641264;150.82623619664253;135.37225397356013;138.20366361880318;153.62712812636244;151.17353578131596;143.3842974641264;145.37671684325215;137.5693867214618;
350;146.72035389152555;157.2014997784399;197.39926834329586;164.2235189839767;151.52163507434625;183.3924552080421;172.35019433542686;169.9880976073776;155.04701918906255;150.47973448311032;146.04699018750796;168.81921700947953;159.38591829654547;141.4191846239604;155.7618783929666;150.47973448311032;178.81082805990556;162.34576628801665;172.74705599836088;151.8705359171794;171.95424440542277;189.39379531462785;152.9220662226185;207.16766070490561;166.12299047968008;181.29552244642448;170.7718440912787;157.92629242245135;161.6006907506438;139.80217960037407;164.98068732334383;155.04701918906255;142.071211385041;166.88891651518585;146.72035389152555;178.81082805990556;158.2899409304989;162.34576628801665;149.1016697436037;166.12299047968008;149.44499826045774;150.82623619664253;152.2202401555017;145.37671684325215;171.95424440542277;148.4173771424014;171.95424440542277;147.39682220370585;150.47973448311032;153.62712812636244;163.0942770678616;147.39682220370585;170.7718440912787;159.75292780777542;197.85380918207326;166.12299047968008;161.2294362682334;170.7718440912787;161.2294362682334;177.58128016475786;165.74134666021052;190.7051314091029;180.46347821208073;217.92008663711292;137.5693867214618;145.37671684325215;157.2014997784399;174.3436620399584;136.62342527317932;175.95502463319346;130.18134247263782;135.37225397356013;177.58128016475786;152.2202401555017;182.5507872345648;168.81921700947953;161.6006907506438;162.34576628801665;142.071211385041;146.72035389152555;159.019751937195;176.76628220841215;153.62712812636244;181.29552244642448;173.14483149362397;151.17353578131596;178.81082805990556;176.3601869479027;150.47973448311032;181.29552244642448;;;;
400;273.01545915549303;290.5072173393252;254.81261210362217;224.01845134194735;278.08544442808454;253.06045696699857;281.3018861310095;234.56398798235475;234.56398798235475;237.82340929672839;273.6441173913884;237.27704401627443;272.3882451720131;257.1677049508413;247.30649072036954;260.1422041467649;269.8937655172144;354.0465566776694;207.64469470333262;264.97312891521335;294.5440067217022;258.94829809685814;281.3018861310095;264.97312891521335;271.76247212298546;238.3710326635721;216.42161371608097;205.7431241490039;246.73833941617247;307.7009656247064;267.4221298318544;249.59220861540658;250.7429775143165;278.08544442808454;289.1739529985368;281.3018861310095;281.3018861310095;264.97312891521335;251.8990521439864;218.42187967716725;217.4194463948251;271.76247212298546;294.5440067217022;261.94339230832657;250.7429775143165;243.35673705438484;259.54456462613547;271.1381366980691;314.13675624167104;253.06045696699857;245.04170499434795;234.56398798235475;223.5038009786536;263.15110752834715;249.01880620114244;245.04170499434795;240.57416503357393;192.46771406622392;264.36439103562185;289.839818542273;229.7584226260572;241.12812241994263;234.56398798235475;297.2663150003028;210.53005468358484;237.27704401627443;266.8077657227987;266.1948130274459;271.76247212298546;280.6556352662915;246.17149335836635;227.65433876444487;220.44063299654638;156.48003352402927;239.4700652508151;255.9874501752332;221.45699575047882;178.81082805990556;236.18807616008147;239.4700652508151;273.6441173913884;283.2495809650177;262.5465554823915;281.9496250833612;260.1422041467649;306.994066649216;268.6551052985083;203.85896781553103;266.8077657227987;250.7429775143165;253.64316587639095;247.87595027647916;241.6833553746412;206.21687794256277
450;263.15110752834715;276.1732594861681;295.9020302120025;242.7976597445259;276.80918902161307;332.729025182434;303.4838572720161;268.0379086046006;270.5152355945282;304.18267347431294;349.99834311843045;325.9123305559271;343.61725960400435;309.1196505402723;322.9276875244099;300.0137840772717;300.7046099258363;354.0465566776694;302.091037470114;331.96462781845474;328.1689018548046;377.59735161863443;334.2631043753249;349.99834311843045;297.2663150003028;281.3018861310095;303.4838572720161;322.9276875244099;334.2631043753249;297.2663150003028;285.21076136507946;290.5072173393252;309.1196505402723;346.79312497265164;307.7009656247064;328.1689018548046;314.13675624167104;344.4084888659446;238.9199170137345;271.1381366980691;300.7046099258363;321.44563150400245;320.70715612377506;296.5833881427452;297.2663150003028;301.3970265024886;302.091037470114;317.04014952964735;317.7701810880355;335.80425658797634;352.4216825925416;335.032794319519;248.44672109694383;280.6556352662915;339.6882959598702;313.4150719573846;287.84680758938356;368.16397402805757;306.994066649216;288.50961718568635;295.9020302120025;266.1948130274459;314.86010231013057;306.994066649216;335.032794319519;300.7046099258363;311.97667347925545;293.19221579357423;319.97037728515147;325.16359357324677;312.6950456395597;292.51864859645656;297.2663150003028;268.0379086046006;303.4838572720161;326.6627916155961;300.0137840772717;335.80425658797634;330.44109733708814;306.994066649216;309.1196505402723;278.725777050505;321.44563150400245;308.4094923390225;305.58513696531435;328.1689018548046;317.7701810880355;331.96462781845474;304.88309880366177;319.97037728515147;278.08544442808454;319.97037728515147;348.39204805117305;293.86733397819717
500;377.59735161863443;323.67127600466995;396.28292789392685;361.4516992088564;316.3117951143896;375.0008979590133;366.4743089566345;326.6627916155961;372.422298162979;360.62131560787793;357.3188143038935;285.8675010773755;393.55798754684844;336.57749526173416;305.58513696531435;297.95081439736;366.4743089566345;269.8937655172144;388.1641901202389;333.4951826837323;345.9964173501956;364.79239849526294;300.0137840772717;375.8643926625708;346.79312497265164;337.3525144312268;338.90791066626997;295.2222376036896;400.866486512238;332.729025182434;345.2015400495941;341.25446154044994;369.86142946290823;428.5161472499453;363.11820705465465;325.16359357324677;307.7009656247064;361.4516992088564;345.9964173501956;358.1415934100561;369.86142946290823;461.2445688917187;445.6029997500121;380.2117827594916;373.27985526137724;343.61725960400435;289.1739529985368;338.90791066626997;416.85082355814023;345.2015400495941;327.41498072219457;291.8466288236721;350.80426576336697;305.58513696531435;346.79312497265164;322.9276875244099;343.61725960400435;306.994066649216;334.2631043753249;363.11820705465465;413.0333831330028;289.839818542273;389.95385847623;306.994066649216;328.1689018548046;375.0008979590133;375.0008979590133;399.0267353460573;385.4950762409936;343.61725960400435;398.11002847178173;400.866486512238;325.16359357324677;317.04014952964735;335.032794319519;352.4216825925416;306.28879167305405;347.59166713154747;365.6323866278597;355.6789224011468;363.9543401153048;384.60945641884547;379.3383005487472;354.0465566776694;338.90791066626997;390.8517845698973;383.7258711816188;363.11820705465465;343.61725960400435;318.50189365142256;369.0117257090382;329.6819561602209;335.80425658797634;399.94555307269343
