distance;spb;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;79.76050208051753;76.8786665943013;75.82502782400917;86.8453039596765;73.08538539164365;80.86882686115663;82.56025748784099;78.30632826816861;72.74996467794193;88.25482958793816;82.18135245311242;90.72458878313572;83.51518073358744;79.39444634461776;78.48664010230719;79.5772637306123;87.64796734623927;77.76787440525929;92.4093737048952;86.44673297753417;89.27561841403075;92.19707638088428;83.51518073358744;82.37058710017779;82.18135245311242;93.26346272832193;76.52583685851603;78.66736713095496;84.09342814000658;77.05569102752814;72.74996467794193;82.75036461945882;68.05583155149054;80.12824555161734;94.55942005273376;78.84851031015829;72.58283203539922;88.4580493090837;79.39444634461776;78.84851031015829;71.58806860780659;78.48664010230719;78.48664010230719;84.48114898371028;69.79960987189996;98.78328601209519;90.93349548795442;89.89375028360132;71.7529106612982;80.86882686115663;79.39444634461776;76.35002968948747;78.30632826816861;81.80418637886815;76.52583685851603;88.4580493090837;82.37058710017779;73.76087341773129;76.52583685851603;91.35275312046308;83.70748671638003;86.8453039596765;89.27561841403075;74.27158336739988;79.21204895542955;84.67567925042412;86.64578929039162;83.70748671638003;72.2497177582651;78.30632826816861;77.05569102752814;89.68723224473376;77.76787440525929;75.82502782400917;87.44660867258324;85.85230365953272;98.55634553585797;80.12824555161734;77.05569102752814;80.12824555161734;72.58283203539922;79.94416236366476;82.94090950069848;70.93247871421282;74.44260460817993;81.42875128425993;96.98229349236969;67.12311164564821;101.08163124269969;73.08538539164365;86.24813396809573;93.69346289903146;86.44673297753417;77.58921383254534;69.96033373619683;73.25367523717904;;;;
100;1;86.24813396809573;97.2056094823455;87.24571259169099;88.25482958793816;77.23312308554021;90.51616201160321;87.64796734623927;73.08538539164365;86.44673297753417;101.5476778317758;95.21413622430518;98.10402747551902;90.93349548795442;100.61772354471226;85.45828998891848;85.45828998891848;95.65313016290338;79.76050208051753;92.83543601596358;108.3025197932092;80.49768453938279;84.87065745167865;91.14288323117634;87.24571259169099;84.67567925042412;82.75036461945882;82.94090950069848;90.30821407077885;87.64796734623927;98.55634553585797;85.65507026646488;90.93349548795442;85.45828998891848;114.71243373975977;91.77394378063636;93.47821556368753;103.67162174218069;81.80418637886815;96.31541902998988;84.09342814000658;85.85230365953272;83.51518073358744;83.51518073358744;82.37058710017779;75.82502782400917;92.19707638088428;89.89375028360132;100.1559449215093;91.56310626602688;82.75036461945882;77.4109637069535;92.83543601596358;89.07052044475715;73.76087341773129;110.06030254361242;91.98526677962242;99.01074905214578;86.64578929039162;95.21413622430518;113.40079711762655;87.24571259169099;82.18135245311242;81.05503922506719;87.44660867258324;76.17462641229403;107.55780462860899;99.46724763957785;96.31541902998988;91.77394378063636;95.43338077220086;80.12824555161734;83.3233165462957;94.34218330463797;88.4580493090837;89.68723224473376;70.6069386283604;93.04920325689164;95.21413622430518;79.03007059816505;79.21204895542955;97.87864749865372;89.89375028360132;103.67162174218069;82.75036461945882;93.69346289903146;90.51616201160321;78.84851031015829;91.77394378063636;86.24813396809573;88.4580493090837;93.90920587301264;81.42875128425993;81.42875128425993;83.13189313954281;104.62980153088488;96.75949053895263;88.86589365874443;80.31275261817575;105.5968372484542;
150;1;112.1041579161951;117.11172814305381;111.58966303523249;102.01587317350378;111.33330173875498;107.3107059503725;104.14960973171877;102.25077972077757;101.08163124269969;105.5968372484542;110.56774616084073;102.9587497887163;118.73907284398597;106.57281074536908;93.69346289903146;94.99539535941216;95.21413622430518;106.0837016293693;120.11245398749564;97.2056094823455;108.3025197932092;110.8223446530412;110.06030254361242;105.83998949201612;97.2056094823455;104.14960973171877;96.09414812530488;108.3025197932092;103.9103408939769;98.10402747551902;105.83998949201612;91.77394378063636;107.80547228788281;103.19582744802683;99.69628560183793;101.31438656056716;98.55634553585797;103.43345101350522;106.57281074536908;100.3865687105195;103.19582744802683;85.45828998891848;85.45828998891848;114.97657598449999;96.09414812530488;95.43338077220086;99.69628560183793;94.99539535941216;107.80547228788281;104.62980153088488;91.77394378063636;92.19707638088428;104.87072703252481;119.83651279733715;104.87072703252481;94.34218330463797;106.0837016293693;99.23873585928976;82.94090950069848;102.48622717491455;100.3865687105195;106.81821031140409;98.78328601209519;100.3865687105195;119.01248701729637;111.58966303523249;104.87072703252481;126.34653637584607;103.43345101350522;116.84268069149917;112.62102492532209;102.9587497887163;106.32797494975146;107.3107059503725;98.10402747551902;108.05371023835644;97.65378530006194;91.35275312046308;97.87864749865372;106.57281074536908;111.33330173875498;111.33330173875498;88.05207673504692;104.62980153088488;106.32797494975146;102.25077972077757;102.25077972077757;101.31438656056716;114.71243373975977;104.38942952113904;95.65313016290338;108.3025197932092;97.42943969022213;102.25077972077757;104.62980153088488;114.1859683433024;;;;
200;1;135.99640077891235;156.84035180832117;161.97280010108508;131.99029808444726;142.3983512378432;150.82623619664253;147.39682220370585;145.711468108377;141.09429426645892;146.38328485555763;137.25334072422285;145.37671684325215;162.34576628801665;156.48003352402927;150.47973448311032;169.5975742568894;148.07640943814368;137.25334072422285;136.9380207974764;149.44499826045774;173.9431324029159;151.8705359171794;142.72624437825547;145.37671684325215;156.1205430194796;139.48100408072568;129.88226945076727;141.74482308927838;152.5707496392494;159.75292780777542;145.0427346212984;148.07640943814368;164.98068732334383;150.82623619664253;180.04888917235328;152.9220662226185;153.62712812636244;158.2899409304989;146.72035389152555;153.9808771765164;136.30955248712056;133.82439032753845;134.1325406623339;126.05627327270784;164.98068732334383;158.2899409304989;156.84035180832117;161.97280010108508;144.70951967574905;156.84035180832117;143.3842974641264;161.97280010108508;152.9220662226185;159.019751937195;165.74134666021052;154.69082083006467;161.6006907506438;173.54352292544948;142.071211385041;156.48003352402927;156.1205430194796;162.71959128443044;157.2014997784399;167.27320278297256;171.95424440542277;134.44140055858222;147.39682220370585;161.2294362682334;146.04699018750796;180.46347821208073;140.1240946738786;132.29422515218823;160.12078241236603;134.1325406623339;139.48100408072568;165.74134666021052;123.19006671368945;169.5975742568894;159.75292780777542;155.40403774715355;172.74705599836088;150.82623619664253;151.8705359171794;154.3354407858697;157.2014997784399;144.37707024389624;142.72624437825547;147.39682220370585;149.78911734170106;145.37671684325215;173.54352292544948;148.4173771424014;133.82439032753845;153.62712812636244;160.12078241236603;;;;;
250;1;133.82439032753845;135.68396849198137;117.92259333504816;156.48003352402927;143.3842974641264;117.38139511592345;129.88226945076727;133.21021182558732;117.11172814305381;117.651683036647;123.47372995481003;109.80745473420666;145.711468108377;140.77015029810312;126.34653637584607;116.30643866255794;117.92259333504816;112.88035139376932;139.16056641591413;102.01587317350378;109.05239126123435;132.59885205668874;130.4811041541137;151.17353578131596;126.05627327270784;141.09429426645892;140.4467510041707;125.47774604840528;124.04301747004386;138.84086491082343;139.16056641591413;122.342981059681;131.99029808444726;136.9380207974764;139.48100408072568;117.11172814305381;123.75804637224999;135.37225397356013;126.34653637584607;122.06191555248;128.6928323718675;111.58966303523249;124.32864475568945;121.5017201781105;138.84086491082343;130.78155608093476;131.0826998424925;137.8861604610773;107.80547228788281;136.30955248712056;142.3983512378432;132.59885205668874;126.34653637584607;157.2014997784399;132.59885205668874;118.19412744424307;130.4811041541137;146.04699018750796;108.80185898389541;125.18947886683053;132.59885205668874;137.8861604610773;132.9041804094259;126.63746785245633;139.48100408072568;119.56120554261082;144.70951967574905;143.05489254083338;114.1859683433024;134.44140055858222;122.342981059681;141.74482308927838;136.62342527317932;147.05819907850767;147.05819907850767;132.29422515218823;146.38328485555763;138.20366361880318;145.0427346212984;138.52189787423194;130.18134247263782;135.37225397356013;141.09429426645892;122.06191555248;132.9041804094259;111.07752939570332;133.21021182558732;114.97657598449999;135.68396849198137;111.33330173875498;144.37707024389624;138.84086491082343;125.47774604840528;142.3983512378432;131.99029808444726;114.44889832406156;132.9041804094259;;;
300;1;147.05819907850767;142.72624437825547;166.12299047968008;136.62342527317932;158.2899409304989;145.711468108377;154.69082083006467;160.489484056269;139.16056641591413;81.42875128425993;126.05627327270784;135.68396849198137;159.75292780777542;131.99029808444726;128.39717898913622;149.1016697436037;151.52163507434625;142.071211385041;144.70951967574905;149.78911734170106;153.27419176407454;151.52163507434625;141.4191846239604;125.18947886683053;137.5693867214618;143.71446089068743;153.27419176407454;123.47372995481003;149.1016697436037;137.5693867214618;153.62712812636244;144.70951967574905;145.0427346212984;146.04699018750796;152.9220662226185;144.0453845670817;134.1325406623339;124.32864475568945;138.84086491082343;133.82439032753845;138.84086491082343;142.3983512378432;171.1650713707123;145.37671684325215;156.84035180832117;137.5693867214618;136.30955248712056;152.2202401555017;152.2202401555017;161.97280010108508;120.66624401638853;187.65936301980136;149.1016697436037;134.44140055858222;135.99640077891235;152.9220662226185;163.84623892869473;155.40403774715355;146.72035389152555;137.8861604610773;119.01248701729637;126.05627327270784;140.1240946738786;147.05819907850767;160.12078241236603;126.92906924156685;176.76628220841215;151.8705359171794;146.38328485555763;153.27419176407454;153.62712812636244;138.20366361880318;127.80790832738843;177.17331256296666;150.13402880772443;155.7618783929666;142.071211385041;145.0427346212984;169.9880976073776;101.31438656056716;149.44499826045774;149.78911734170106;136.62342527317932;137.8861604610773;126.63746785245633;143.3842974641264;132.29422515218823;132.59885205668874;151.52163507434625;128.39717898913622;134.1325406623339;165.74134666021052;161.6006907506438;145.37671684325215;116.30643866255794;148.07640943814368;129.88226945076727;;;
350;1;147.39682220370585;139.16056641591413;159.38591829654547;147.39682220370585;187.2282424635478;166.88891651518585;169.2079480779645;0.0;260.1422041467649;146.38328485555763;193.8003335433133;147.73622505843724;183.8147433001679;174.3436620399584;160.12078241236603;142.3983512378432;159.38591829654547;147.05819907850767;162.71959128443044;196.9457717471083;159.38591829654547;177.58128016475786;155.40403774715355;168.43137899504623;144.70951967574905;180.46347821208073;174.3436620399584;127.51428793112879;155.7618783929666;173.9431324029159;176.76628220841215;170.3795201952986;174.3436620399584;126.63746785245633;165.3605796128513;137.8861604610773;174.3436620399584;164.98068732334383;166.88891651518585;172.35019433542686;178.81082805990556;167.27320278297256;162.34576628801665;160.489484056269;192.0255470109072;171.55920411377264;168.81921700947953;148.4173771424014;155.7618783929666;168.0444319830006;180.46347821208073;143.3842974641264;174.74511395537968;150.13402880772443;162.71959128443044;167.27320278297256;168.0444319830006;244.4787567115525;148.07640943814368;190.7051314091029;174.74511395537968;164.60166778205706;173.54352292544948;156.48003352402927;150.13402880772443;156.48003352402927;171.95424440542277;178.40003574761784;148.4173771424014;139.80217960037407;140.77015029810312;140.77015029810312;155.40403774715355;185.51364188915767;164.60166778205706;196.49331699451255;147.05819907850767;177.17331256296666;172.35019433542686;165.74134666021052;161.2294362682334;142.3983512378432;180.46347821208073;166.50551309015668;166.88891651518585;125.47774604840528;168.43137899504623;145.0427346212984;151.52163507434625;173.9431324029159;152.5707496392494;140.4467510041707;191.1442580133571;173.54352292544948;;;;;;
400;1;228.17854635123973;236.18807616008147;210.53005468358484;306.994066649216;273.6441173913884;267.4221298318544;231.34923774277578;232.41589566874947;192.9108992761969;175.5507931209749;273.01545915549303;244.4787567115525;218.42187967716725;249.59220861540658;256.57689891684043;235.64546782369993;295.2222376036896;262.5465554823915;223.5038009786536;254.81261210362217;195.14217989089008;260.74121982026094;255.39935560783434;289.839818542273;280.6556352662915;251.32035008653247;211.98773527560084;254.81261210362217;239.4700652508151;292.51864859645656;291.17615292023476;287.84680758938356;347.59166713154747;247.30649072036954;247.30649072036954;254.22721655872235;259.54456462613547;315.58511398926566;244.4787567115525;252.47908674801366;236.73193393193665;240.57416503357393;231.88195337772558;224.01845134194735;328.1689018548046;280.6556352662915;276.80918902161307;280.01086907053855;229.23058549940114;275.5387909079098;291.17615292023476;229.7584226260572;232.41589566874947;247.87595027647916;231.34923774277578;234.02511075636028;284.5555304183761;259.54456462613547;248.44672109694383;184.23800377271442;259.54456462613547;266.1948130274459;356.49792541509163;224.53428676337103;210.04639198313274;240.0214802850993;194.69386863271845;260.1422041467649;175.1474902728613;273.01545915549303;227.13133546963292;287.18552070336415;213.9470213365385;274.274223205303;280.01086907053855;280.6556352662915;249.01880620114244;262.5465554823915;259.54456462613547;327.41498072219457;295.2222376036896;213.45550864373638;243.9171017219502;235.10410605239272;285.21076136507946;322.18580733237013;265.5832685032748;207.16766070490561;255.9874501752332;227.13133546963292;196.0419016920219;272.3882451720131;251.8990521439864;268.6551052985083;257.1677049508413;241.12812241994263;234.56398798235475;;;
450;1;287.84680758938356;334.2631043753249;300.7046099258363;319.23529109056983;310.54487643917764;322.18580733237013;274.9057799304979;264.36439103562185;292.51864859645656;286.52575302941904;336.57749526173416;335.80425658797634;280.6556352662915;306.28879167305405;325.9123305559271;287.18552070336415;265.5832685032748;307.7009656247064;340.47047820534823;329.6819561602209;317.7701810880355;340.47047820534823;294.5440067217022;347.59166713154747;311.2599516762814;342.040250112449;327.41498072219457;325.16359357324677;307.7009656247064;277.4465828783136;289.1739529985368;322.9276875244099;305.58513696531435;326.6627916155961;325.16359357324677;291.17615292023476;278.08544442808454;335.80425658797634;280.6556352662915;388.1641901202389;303.4838572720161;275.5387909079098;337.3525144312268;288.50961718568635;292.51864859645656;272.3882451720131;262.5465554823915;317.7701810880355;304.18267347431294;285.8675010773755;291.8466288236721;328.1689018548046;311.2599516762814;286.52575302941904;309.1196505402723;290.5072173393252;255.9874501752332;294.5440067217022;342.040250112449;329.6819561602209;306.994066649216;325.16359357324677;335.80425658797634;316.3117951143896;281.3018861310095;337.3525144312268;326.6627916155961;319.97037728515147;348.39204805117305;325.9123305559271;364.79239849526294;283.90180477109226;295.9020302120025;269.2737231785496;293.86733397819717;320.70715612377506;289.839818542273;362.2839948901666;332.729025182434;291.17615292023476;319.97037728515147;300.0137840772717;297.95081439736;314.13675624167104;300.7046099258363;238.9199170137345;327.41498072219457;319.97037728515147;268.0379086046006;297.2663150003028;322.9276875244099;341.25446154044994;308.4094923390225;297.95081439736;291.17615292023476;276.80918902161307;287.18552070336415;323.67127600466995;294.5440067217022;
500;1;362.2839948901666;318.50189365142256;297.95081439736;345.9964173501956;381.9647857759958;440.50791812415736;333.4951826837323;356.49792541509163;302.78664650003196;354.8618009295309;329.6819561602209;373.27985526137724;341.25446154044994;360.62131560787793;334.2631043753249;379.3383005487472;341.25446154044994;334.2631043753249;338.90791066626997;344.4084888659446;377.59735161863443;379.3383005487472;350.80426576336697;337.3525144312268;333.4951826837323;363.9543401153048;300.7046099258363;348.39204805117305;416.85082355814023;315.58511398926566;393.55798754684844;326.6627916155961;318.50189365142256;309.1196505402723;343.61725960400435;375.0008979590133;363.9543401153048;347.59166713154747;343.61725960400435;328.1689018548046;342.82784807816876;376.72987568964214;346.79312497265164;344.4084888659446;332.729025182434;312.6950456395597;327.41498072219457;374.13938701108043;360.62131560787793;362.2839948901666;358.96626708608295;291.17615292023476;370.71308978460263;304.88309880366177;322.18580733237013;339.6882959598702;403.64202988183786;271.76247212298546;386.382735332994;340.47047820534823;331.20198654813083;382.8443158551454;422.64324067598795;306.28879167305405;338.1293181963075;321.44563150400245;394.46421267761235;371.5667111794065;297.95081439736;336.57749526173416;354.8618009295309;370.71308978460263;339.6882959598702;399.0267353460573;314.13675624167104;381.08727629145363;362.2839948901666;305.58513696531435;322.9276875244099;376.72987568964214;289.1739529985368;409.250902099993;339.6882959598702;401.78954053643093;362.2839948901666;430.4918621878093;307.7009656247064;368.16397402805757;352.4216825925416;331.20198654813083;354.8618009295309;359.79283969449995;394.46421267761235;305.58513696531435;365.6323866278597;397.1954276004851;;;;
